企业名称,企业性质,所在城市,薪资待遇,作息时间,学历要求,核心业务,对口专业,深度调研结论,风险提示,官方网址
"上海华理安全装备有限公司","民企","上海市上海市","未知","待核对","待核对","爆破片装置,无焰泄放,隔爆阀,管道阻火","关注防爆电器、工业爆炸防护装备及配套的学生。,希望寻找长三角或华东区域防爆制造板块的学生。","上海华理安全装备有限公司是国内专业的防爆安全装备 / 爆破片领域主体，产品包括爆破片装置、无焰泄放、隔爆阀、管道阻火等。其产品及方向适用于弹药与爆炸技术防爆管理及配套，但具体岗位及作息待遇数据尚未被官方招聘直接佐证，需以当年最新材料核实。","当前无公开可考证的薪资与作息数据。;具体生产及研发岗位的学历门槛可能发生变化。;独立校招公告需按学校就业网最新批次更新。","https://www.hl130.com/Home"
"上海华龙测试仪器有限公司","民企","上海市上海市","未知","待核对","本科及以上","极端环境测试,智能化测试仪器,力学性能测试,专精特新","兵器类,探测制导,安全工程,机械自动化","上海华龙测试仪器是国内知名的试验机制造商，主营万能材料、疲劳等力学测试设备，可用于极端环境下的性能评估。设备在航空航天、军工领域有广泛应用，核心业务与机械、材料、兵器类专业对口，是一家具备深厚技术积淀的优质民企。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.shhualong.com"
"上海合时智能科技有限公司","民企","待核对上海","未知","待核对","本科及以上","特种机器人,排爆机器人,自动化装备,专精特新","兵器类,探测制导,安全工程,机械自动化","上海合时智能科技有限公司是一家专注于反恐排爆、侦检、武装及扫雷等特种机器人研发的专精特新企业。公司掌握防爆设计与智能控制等核心技术，其业务与弹药工程、探测制导及机械自动化等专业高度契合。对于希望从事特种装备和军用机器人研发的毕业生而言，这是一个具备深厚技术积累与广阔前景的平台。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.hrstek.com/"
"上海复合材料科技有限公司","国企","闵行区上海","未知","待核对","本科及以上","航天八院下属,航天复合材料结构,功能性复合材料","兵器类,探测制导,安全工程,机械自动化","该公司作为中国航天科技集团第八研究院下属的复合材料技术研发中心，主营弹、箭、星、船结构及功能性复合材料产品的研发与生产。其核心业务与弹药工程、探测制导及特种材料专业高度对口。依托航天国企平台，项目资源丰富且稳定性高，非常适合相关军工专业的应届毕业生投身国防事业并获得长远的职业发展。","国企涉密单位可能有较严的保密要求;实际加班情况及待遇网端信息较少","https://www.zju.edu.cn/"
"中国兵器工业试验测试研究院","国企","陕西省西安市","未知","待核对","硕士及以上为主","兵器工业集团直属,国防科技工业陆上常规武器试验基地,051基地","兵器科学与技术、弹药工程专业毕业生,倾向于军工体制内科研与试验单位的学生","该研究院是兵器工业集团下属的唯一陆上常规武器试验基地，主要从事兵器工业的科研试验与测试工作，业务范围与弹药工程、控制工程高度匹配。虽缺乏独立官网，但通过各大高校就业网常年开展针对涉军工专业的校招，值得弹药工程相关专业的学生作为重点就业去向进行关注和投递。","官方直聘入口和网申链接需进一步核对获取;待遇和作息制度暂无公开可靠依据","https://www.job.sjtu.edu.cn/test1"
"中国兵器工业集团北方特种能源集团有限公司","待核对","陕西省待核对","未知","待核对","硕士研究生","火工品研发生产,民爆器材产业,汽车安全系统,新能源板块","爆炸技术专业本科或硕士毕业生,对军工含能材料感兴趣的求职者,关注军民融合产业的学生","该企业隶属于中国兵器工业集团，业务聚焦火工品、含能材料与民爆，属于弹药工程与爆炸技术专业相关领域。适合对军工含能材料感兴趣的本科/硕士学生，但工作地点多为陕西西安等，岗位存在现场验证风险。无公开薪资与作息信息，需关注集团招聘平台最新公告。总体适合有爆炸技术专业背景的求职者。","工作地点为陕西西安为主，签约单位可能为子公司;岗位可能涉及现场试验或保密岗位;薪资与作息缺乏公开数据;招聘公告时间不固定，需实时关注;信息以公开渠道为主，具体条件建议核实","https://www.norincogroup.com.cn/"
"中国兵器工业集团江山重工研究院有限公司","国企","湖北省襄阳市高新区襄阳；武汉；南京","硕士12-20万；博士30-40万（招聘公告薪酬，具体岗位未指定）","待核对","硕士研究生及以上（博士后研究员为博士研究生）","国家火箭炮武器研发制造基地,国防科技工业科研生产双保军企业,多基地协同发展,省级技术创新中心","具有爆炸技术、弹药工程、材料科学等相关专业背景的硕士及以上学生,对军工装备研发感兴趣，愿意从事试验验证或工艺制造工作的学生,计划从事国防科技领域，愿意跨区域工作的学生,关注含能材料、火工品相关课题的学生","该企业与弹药工程与爆炸技术专业学生相关度高。属于中国兵器工业集团直属子公司，业务聚焦国家火箭炮武器研发制造基地，具备火控、动力学、材料、工艺等专业需求。招聘以硕士为主，博士后为特色，工作地点包括襄阳、武汉、南京三地。福利包括购房补贴、安家费、六险两金等。属于典型军工科研生产企业，适合对国防装备感兴趣、有爆炸/弹药相关专业背景的学生。资料来源于公开招聘公告和官方渠道，来源可靠但无官方公司官网，招聘公告可能因时效性需关注微信公众号更新。","招聘公告截止日期为2026-06-10，当前（2026-06-08）仍处于招募期但需及时投递;工作地点包括襄阳、武汉、南京，签约单位可能为分公司而非总部;军工企业岗位可能涉及涉密、现场试验或倒班情况;无独立官网，招聘信息主要通过微信公众号发布，需关注更新;薪酬为公告规定，实际执行可能因岗位差异",""
"中煤科工集团淮北爆破技术研究院有限公司","国企","安徽淮北市","未知","待核对","本科及以上，硕士岗位较多（招聘样本，待核对）","央企下属,民爆研发,爆破工程,安全评价","关注民爆科研和检测方向的学生,关注爆破工程技术研发的学生,关注安全评价和技术支持岗位的学生","中煤科工集团淮北爆破技术研究院有限公司官网显示，其面向民用爆破器材、爆破工程技术和安全技术方向，和弹药工程、爆破工程及安全评价相关。招聘简章提供岗位样本，但薪资、作息、岗位有效期和具体工作地点仍需按最新公告复查。","招聘简章有时效性，岗位是否仍开放需复查。;薪资和作息未形成稳定公开证据。;部分岗位可能要求硕士或相关资质。;实际工作内容可能包含现场技术支持。","https://www.hbccri.com/"
"中煤科工集团重庆研究院有限公司","国企","重庆市重庆市","未知","待核对","待核对","安全技术,民爆技术线索,安全评价,招聘入口","关注安全技术、检测评价和民爆技术的学生。,想看央企科研院所型就业入口的学生。,能接受现场测试或工程服务可能性的学生。","中煤科工集团重庆研究院有限公司可作为煤矿安全、工业安全、民爆技术和安全评价方向入口。智联、国聘、猎聘和政府资料能支撑相关性；官网连通性、最新岗位、薪资、作息、签约主体和现场工作要求仍需复查。","官网入口连通性需复查。;民爆技术只是业务线索，需按具体部门判断匹配度。;岗位可能分布在分院或项目现场。;薪资、作息和出差要求没有稳定公开口径。","https://www.zhaopin.com/companydetail/jobs-CZ255849730/"
"中科科正自动化工程有限公司","待核对","安徽合肥","6k-15k/月（样本值，待核对）","双休","本科及以上","民爆智能装备,乳化炸药自动化生产线,粉料包装及自动配料系统,机器人包装码垛生产线,智能工厂建设","兵器类,探测制导,安全工程,机械自动化","中科科正自动化工程有限公司由中科院合肥物质科学研究院与相关企业联合组建，专注于民爆智能装备、乳化炸药自动化生产线及智能工厂建设。其核心业务与弹药工程及爆炸技术专业的高端制造、自动化转型方向高度契合，科研实力雄厚，非常适合该专业毕业生在智能制造、工艺研发与技术支持等岗位发展。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.hfkzgc.com/"
"中钢集团马鞍山矿山研究总院股份有限公司","国企","安徽省马鞍山市","未知","待核对","硕士岗位样本较多，具体待核对","安全技术,检测评价,爆破工程线索,招聘宣讲","关注安全技术和检测评价方向的学生。,关注矿山爆破、岩土和项目管理的学生。,硕士阶段想找技术服务或研究岗位的学生。","中钢集团马鞍山矿山研究总院股份有限公司可作为矿山安全、检测评价和爆破工程技术入口。官网、集团入口和学校就业网资料可支撑相关性；具体岗位、学历、薪资、作息、项目地点和出差要求仍需按最新公告复查。","岗位可能偏矿山安全，不一定直接对应弹药生产。;招聘岗位和学历要求需按最新公告核对。;部分项目可能涉及现场试验或出差。;薪资和作息没有稳定公开口径。","https://www.mimr.cn/"
"云南安爆数码电子科技有限公司","民企","云南省昆明市","未知","待核对","本科及以上","芯片模组研发实力,中爆协专委会成员,起爆器研发","倾向在深圳或昆明发展的微电子硬件工程师,希望进入电子雷管上游核心部件开发的学生","少数在电子雷管芯片模组与组网技术上具备强劲研发实力的独立科技公司，且在深圳有研发中心。它非常适合微电子、通信工程及弹药工程背景的硬件学生。同时是中国爆破器材行业协会的活跃成员。","具体薪资待遇水平待核实;校招宣讲规模较小，多依赖社招渠道;两地办公研发的机制需应聘者确认","https://www.anbao-corp.com"
"云南民爆集团有限责任公司","国有企业","云南省昆明市","未知","待核对","本科及以上；研究生可优先（待核对）","云南省省属国有企业,民用爆破器材生产企业,国家级高新技术企业,民爆器材生产基地","弹药工程与爆炸技术专业学生,对民爆工程感兴趣的本科生,关注军工/含能材料领域的专业学生,可作为实习或初次就业的国企选项","云南民爆集团有限责任公司是云南省省属全资国有企业，隶属戎合控股，核心业务为民用爆破器材生产与工程爆破服务，与弹药工程与爆炸技术专业高度匹配。该企业生产规模大（年产炸药34.2万吨、雷管4.1亿发），具备民爆科研、设备制造、试验验证能力。招聘信号来自省国资委平台及戎合控股官网，岗位包括技术研发与安全技术，学历要求本科及以上，工作地点主要在云南昆明及异地生产基地。总体可作为弹药工程相关学生实习或就业参考，风险点在于部分岗位可能涉及生产现场或异地分公司在非昆明城市。","部分招聘公告可能仅覆盖子公司（如锐达民爆）;工作地点可能为昆明总部或异地分厂（如文山、水富、海南昌江）;部分岗位可能需涉及生产现场或安全保密要求;招聘信息需以官方平台为准，具体薪资与作息待最新公告;公告有效期可能较短","http://ynrhkg.com/"
"云南燃一化工科技有限责任公司","国企","云南曲靖","未知","待核对","本科及以上历史线索，具体以最新公告为准","民爆器材,含能材料,历史招聘,集团线索","关注民爆器材、含能材料和生产技术方向的学生。,能接受曲靖陆良等非省会工作地点的学生。,愿意按最新公告核对岗位、薪资和签约主体的学生。","公开招聘和集团线索显示，云南燃一与民爆器材、含能材料及相关技术岗位关联较强。现有证据多为历史公告和转载线索，适合作为后续就业核对对象，但官网、最新校招、薪资、作息和具体岗位仍需复查。","官网入口未稳定确认，不能直接写成已核验官网。;多个招聘公告为历史样本，不能代表当前岗位。;部分岗位可能涉及生产现场、安全管控或倒班。;第三方转载和公众号线索不能单独支撑薪资、待遇或岗位结论。","https://rsj.qj.gov.cn/view/gsgg/113679.html"
"云南达力爆破工程有限责任公司","国企","云南省曲靖市","未知","待核对","待核对，具体以最新公告为准","西南入口,专业爆破,公开招聘,现场混装线索","关注西南爆破工程和现场服务的学生。,关注安全员、爆破员和技术员岗位的学生。,能接受项目现场和证书要求的学生。","云南达力爆破工程有限责任公司可作为西南专业爆破工程入口。公开招聘、国聘入口和政府许可资料显示其与爆破作业、现场服务和安全岗位相关；具体薪资、作息、证书要求、岗位有效期和项目地点仍需复查。","官网入口连通性需复查。;招聘公告有时效性，岗位可能调整或取消。;项目地点可能分散在不同分公司或工地。;薪资和作息未形成稳定公开口径。","https://www.5rc.com/zhaokao/599886/"
"保利联合化工控股集团股份有限公司","国企","贵州贵阳","未知","待核对","待核对","央企体系,民爆业务,爆破工程,多地子公司","关注民爆生产、爆破工程和安全管理的学生。,能接受多地子公司或工程现场差异的学生。,希望进入央企相关民爆平台的学生。","公开资料显示，保利联合业务以民爆产品和爆破工程为主，属于保利体系相关企业，与弹药工程、爆破工程和安全技术方向关联明确。现有招聘入口偏集团层面，具体岗位、签约主体、薪资和作息不能直接确定。","招聘可能由下属企业发布，需确认签约主体。;工程类岗位可能存在项目现场和出差。;薪资、作息和福利没有稳定公开口径。;年报中的经营风险不能替代岗位风险说明。","https://www.poly-union.com/"
"兰州中诚信工程安全咨询有限责任公司","民企","甘肃省兰州市","未知","待核对","本科","专业安评机构,应急管理部甲级资质,独立第三方","倾向从事安评师职业的安全工程学生,希望留在甘肃兰州发展的毕业生","兰州中诚信拥有应急管理部核发的安全评价甲级资质，并多次中标甘肃省内相关的安全预评价和评审项目。对于安全工程专业的学生，如果是选择回西北从事独立的第三方安全评价与咨询工作，这是一个专业对口的民营企业。","民企第三方安评行业的长期待遇和稳定性待核实;目前无详细透明的校园招聘宣讲记录","http://www.lzcx.net"
"内蒙古北方重工业集团有限公司","国有企业","内蒙古自治区包头市","未知","待核对","待核对","中国兵器工业集团所属特大型企业,火炮研发生产基地,高强韧炮钢研发生产基地,矿用车研发生产基地","关注军工企业及武器装备制造的机械或材料专业学生,希望在兵器工业集团平台进行校招的毕业生,对火炮研发或特种装备感兴趣的弹药工程与爆炸技术专业学生,长期发展于大型国企的就业选择","内蒙古北方重工业集团有限公司作为中国兵器工业集团旗下国有特大型企业，总部位于包头市，主要从事火炮武器系统、高强韧炮钢及矿用车辆研发生产，属于军工行业范畴。南京分公司则侧重汽车机械制造业务。企业通过中国兵器工业集团校园招聘平台发布校招信息，面向机械、材料等相关专业学生。业务与弹药工程及爆炸技术专业虽无直接火工品或民爆产品线，但火炮研发涉及武器系统制造，具有一定学术交流与就业关联度。招聘信息主要在集团官网及招聘平台公开，未见具体薪资或作息细节。企业规模较大，部分岗位可能涉及军工保密与现场工作环境，建议关注最新招聘公告。","招聘岗位与具体要求需实时在集团平台核对，可能存在保密岗位;南京分公司与总部业务不同，签约单位可能为分公司而非总公司;部分岗位可能涉及现场制造或保密要求;公告可能存在时效性，建议关注最新信息;无公开薪资及作息数据","http://www.bfzg.com"
"内蒙古生力民爆股份有限公司","民企","内蒙古鄂尔多斯","未知","待核对","本科及以上","工业炸药,现场混装炸药车,矿山爆破一体化服务","兵器类,探测制导,安全工程,机械自动化","内蒙古生力民爆作为区域内民企百强及民爆骨干，依托当地丰富的矿产资源提供爆破一体化服务与现场混装车作业。其主营业务紧密围绕工业炸药展开，对化工、弹药与安全工程等对口专业毕业生具有极高的专业契合度，是非常理想的专业对口就业选择。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.shengliminbao.cn/"
"内蒙古航天红峡化工有限公司","国有","内蒙古呼和浩特","未知","待核对","硕士研究生为主","固体火箭发动机装药总装,火炸药产品生产,特种功能材料制备,安全工程相关岗位","本科/硕士化学工程、机械、材料、爆炸技术等专业学生,对军工含能材料感兴趣的毕业生,希望在航天安全技术领域发展的学生,关注国企稳定就业的求职者","内蒙古航天红峡化工有限公司隶属于中国航天科工集团第六研究院，位于呼和浩特市，是国有军工企业，主营固体火箭发动机装药研发、生产与总装，业务涉及火炸药相关产品和特种功能材料，属于含能材料领域。该公司定期组织高校毕业生校招，需求覆盖化学工程、机械、材料、安全工程等专业，与弹药工程与爆炸技术专业高度相关。招聘主要通过中国航天科工集团招聘平台及高校就业网进行，学历要求多为硕士，工作地点固定在呼和浩特。存在风险如岗位偏现场、可能涉密或倒班，具体待遇和作息待补充。总体可信度高，适合对军工含能材料感兴趣的学生参考。","工作地点可能要求长期在生产厂区，偏现场岗位;国企军工企业岗位可能存在涉密要求;部分招聘公告为历史或过期信息;薪资和工作作息具体细节待核实;不排除岗位签约单位与总部有差异","待核对"
"北京中大爆破工程有限公司","待核对","昌平区北京","未知","待核对","本科及以上","爆破工程,控制拆除爆破,矿山爆破","兵器类,弹药工程,安全工程,特种能源","北京中大爆破工程有限公司成立于1993年，拥有国家爆破作业壹级资质，核心业务涵盖各类复杂环境下的爆破工程及爆炸高新技术应用。其主营业务与弹药工程、特种能源及爆炸力学等专业知识体系高度契合，且多次赴中北大学等对口高校开展校园招聘，是相关专业毕业生在民爆与爆破工程领域中极具专业对口性与发展潜力的优质就业平台。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.bjzdbp.com.cn"
"北京中科力爆炸技术工程有限公司","待核对","北京市北京市","未知","待核对","待核对","华北入口,专业爆破,技术服务,工程应用","关注爆破工程技术服务的学生。,关注北京或华北就业入口的学生。,愿意后续核对项目地点和资质要求的学生。","北京中科力爆炸技术工程有限公司可作为华北地区爆破技术和工程服务入口。现有资料更适合用于查主体、集团关联和技术服务方向，不能判断稳定招聘；岗位、资质、薪资、作息和项目地点需后续按公告复查。","未找到稳定独立官网和最新校招公告。;公开入口不能直接支撑薪资和作息。;项目制岗位可能涉及外派和现场工作。;资质、股权和签约主体需按最新资料复查。","https://www.gdhdkg.com/show.php?id=844"
"北京理工北阳爆破工程技术有限责任公司","待核对","北京市北京市","未知","待核对","待核对","华北入口,专业爆破,工程施工,招聘入口线索","关注北京或华北爆破工程入口的学生。,关注现场爆破、安全技术和工程管理的学生。,能接受项目制和外派可能性的学生。","北京理工北阳爆破工程技术有限责任公司可作为华北专业爆破工程入口。现有资料来自协会页面、政府公示、历史工程案例和招聘平台，能说明业务方向；最新岗位、资质、薪资、作息和项目地点仍需复查。","未找到稳定企业官网。;招聘平台不能代表当前校招开放。;项目地点可能不同于北京注册地。;薪资、作息和证书要求没有稳定公开口径。","https://www.zhaopin.com/companydetail/CZ135125240.htm"
"北京百战奇靶场装备技术有限公司","民企","北京北京","未知","待核对","本科及以上","核心配套,靶场建设,军工采购","兵器类,探测制导,安全工程,机械自动化","北京百战奇靶场装备技术有限公司是中国全军武器装备采购合作企业，主要从事靶场建设并研发起倒靶、移动靶及智能射击方舱等设备。该公司业务高度对口兵器科学、探测制导及自动化等专业，是相关毕业生在靶场装备与测试领域的优质就业目标。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.baizhanqi.com/"
"北京矿冶科技集团有限公司","国企","北京北京","未知","待核对","硕士及以上","矿产资源开发利用技术,国家级重点实验室,工业炸药与爆破技术","从事采矿选矿、材料与冶金技术的研究生,关注安全技术与工程爆破方向的学生,偏好中央国企稳定发展的本科生,需要技术研发或试验验证岗位的毕业生","北京矿冶科技集团有限公司隶属于国务院国资委管理的中央企业，以矿产资源开发利用为核心主业，在采矿、选矿、安全、工业炸药及相关技术领域具备国家级平台支撑。企业官网为主要信息入口，存在2024年及后续校招公告，涉及硕士及以上毕业生招收。适合从事矿冶工程、材料与安全技术相关专业的研究生或本科生作为潜在就业选项，但招聘信号仅限部分历史公告，2026届最新岗位详情需进一步确认。企业为典型中央国企，工作地点主要在北京及相关基地，具备一定政策支持。","校招信号较旧（主要2024年及之前），2026届具体岗位需官网确认;工作地点主要为北京及下属基地，签约单位可能为集团下属公司或研究所;部分岗位涉及技术秘密或涉密领域，需注意保密要求;无公开薪资范围及作息安排;公告内容可能随时间更新，建议以官网最新为准","https://www.bgrimm.com/"
"北京航天星汉科技有限公司","民企","大兴区北京","未知","待核对","本科及以上","航空航天发动机试车台,液路/气路试验系统,高速旋转试验台,专精特新中小企业","兵器类,探测制导,安全工程,机械自动化","北京航天星汉科技有限公司是一家专注于航天军工领域非标试验系统设计与研发的专精特新民营企业。核心产品包括发动机热试车台、高速旋转试验台等，具备军工相关质量体系认证。对于兵器类、探测制导及机械类毕业生而言，公司深耕大型军工测试设备，能够提供专业对口的工程实践平台，是进入军工科研配套领域发展的优质选择。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.startechcorp.com/"
"北方华安工业集团有限公司","国企","黑龙江齐齐哈尔","未知","待核对","待核对","中国兵器工业集团下属大型军工骨干企业,国家高新技术企业,特种产品科研生产中心,军民融合型","对军工企业及武器装备研发感兴趣的学生,关注弹药工程、机械制造或相关专业背景的学生,愿意从事国企科研或技术岗位者,可接受保密要求与现场工作的学生","北方华安工业集团有限公司是中国兵器工业集团下属大型军工骨干企业，由原黑龙江华安机械有限责任公司与齐齐哈尔建华机械有限公司重组而成，总部位于齐齐哈尔市，核心业务聚焦特种装备研发、性能测试及武器产品领域。该企业与弹药工程与爆炸技术专业存在一定关联性，因其属于军工体系，部分研究、生产及试验涉及弹药相关内容，但未在公开资料中明确列出民爆、含能材料、火工品或爆破工程为主营业务，更多为武器产品制造与科研。该企业招聘信号显示存在研发技术员、科研人员、技工等岗位，主要工作地点集中在齐齐哈尔，部分岗位分布于西安科技研发中心；作为国企，岗位可能涉及保密要求或现场操作。公开信息显示企业规模较大，员工3000余人，但薪资范围、作息安排及完整招聘公告未直接获取可靠数据来源。总体而言，适合对军工企业、武器装备制造或相关科研感兴趣的学生参考，但需关注保密政策与具体岗位性质。","部分岗位工作地点可能为外地或保密区域;作为军工企业，部分信息可能受保密限制;招聘公告可能随时间变化或仅针对特定批次;薪资与作息安排缺乏公开可靠数据;签约单位可能非总部，岗位偏现场或研发中心","待核对"
"北方爆破科技有限公司","国企","北京市北京市","未知","待核对","硕士岗位样本较多，待核对","兵器集团线索,工程爆破,现场混装炸药,校招样本","关注工程爆破和采矿方向的学生,关注兵器集团相关民爆业务的学生,能接受项目地或现场技术工作的学生","北方爆破科技有限公司在国家大学生就业服务平台和学校就业网出现工程爆破、采矿和安全方向岗位样本，业务与现场混装炸药、爆破工程相关。该条目适合补充北京工程爆破入口，但官网、签约主体、项目地点、薪资和作息仍需复查。","缺少企业官网，主体信息需继续核对。;招聘公告有时效性，岗位是否仍开放需复查。;项目地可能不等于北京总部。;薪资和作息不能直接写成稳定事实。","https://www.ncss.cn/student/jobs/21dPqgiEjj9ajmSqcA8yzz/detail.html"
