企业名称,企业性质,所在城市,薪资待遇,作息时间,学历要求,核心业务,对口专业,深度调研结论,风险提示,官方网址
"泸州北方化学工业有限公司","国企","四川省泸州","未知","待核对","硕士研究生；本科；待核对","国家重点保军大型化工企业,1933年创建的化学兵工厂,兵器工业集团旗下,纤维素醚与火工品相关研发生产","本科或研究生，化学工程、机械工程、安全工程专业学生,希望参与军工含能材料研发或生产的技术人员,关注国防科技与化工制造结合的职业规划学生,有安全技术、检验相关证书的应届毕业生","泸州北方化学工业有限公司是兵器工业集团旗下国家重点保军大型化工企业，历史可追溯至1933年化学兵工厂，当前从事含能材料、火工品生产与研发工作，与弹药工程与爆炸技术专业高度相关，主要岗位包括安全技术管理、军品研发、机械制造等领域。企业规模较大，位于四川省泸州，属于国企性质。公开招聘信息显示硕士及本科毕业生可投递安全技术、机械制造等岗位，但无最新在招公告或薪资数据。适合对军工含能材料感兴趣的本科或研究生学生，但需注意工作地点可能涉及生产基地，具体岗位可能为技能类或检验类，安全管理相关岗位与专业匹配度较高。","工作地点为生产基地（泸州高坝为主），可能需接受现场操作或倒班;国企企业文化偏传统，可能涉密或保密要求;招聘公告较旧（2025年），最新在招情况需核对;薪资与作息无公开来源，待核对;岗位可能偏生产或检验技能类，非纯科研","https://lncc.cn.chemnet.com/"
"浙江京安爆破工程有限公司","国企","拱墅区杭州","样本值（待核对）","待核对","本科及以上","爆破工程,控制拆除爆破,土石方工程,民爆一体化服务","爆破工程,弹药工程","浙江京安爆破工程有限公司是浙江新联民爆全资控股的大型国企，主营爆破与拆除工程及矿山开采，具有一级爆破资质。非常契合弹药工程与爆炸技术等兵器类专业毕业生，平台稳定，建议重点关注。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.zjjabp.com"
"浙江利化爆破工程有限公司","民企","华东丽水","未知","待核对","本科及以上","爆破工程,矿山施工,拆除爆破","兵器类,探测制导,安全工程,机械自动化","浙江利化爆破是丽水市一家具二级爆破资质的民营企业，背靠利化民爆股份，具有完整的民爆器材研发与爆破服务产业链。业务稳健，属区域内知名企业，非常适合兵器类、安全工程、爆破等专业的毕业生在华东地区长期发展。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.lhbpgf.com/"
"浙江新联民爆集团股份有限公司","国企","浙江杭州","未知","双休","本科及以上","民用爆破器材生产,工业炸药,起爆器材,爆破技术服务","兵器类,安全工程,采矿工程,探测制导","浙江新联民爆集团由浙江省机电集团与物产中大集团组建，是浙江省属核心国有企业。公司业务涵盖工业炸药、起爆器材、民爆器材产销及爆破技术服务全产业链。对于兵器类、安全工程、采矿及爆破专业的毕业生，该企业提供了稳定规范的国企平台和对口的发展通道，是相关专业求职者的优质选择。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.zjxlmb.com/"
"浙江永联民爆器材有限公司","待核对","浙江杭州","未知","待核对","本科;待核对","民爆器材生产,乳化炸药,分公司多,国有相关","关注民爆领域或含能材料专业的学生,了解行业现状与发展的学生,关注行业新闻或招聘动态的学生","浙江永联民爆器材有限公司是一家位于杭州的民爆器材生产企业，业务涵盖乳化炸药等含能材料相关产品，历史曾进行应届生校招。企业规模较大，下设多个分公司，属于民爆行业领域。对弹药工程与爆炸技术专业学生具有一定相关性，可作为行业参考。但目前无企业官网、无2026年最新招聘公告、无薪资或作息公开信息，信息主要来自历史招聘归档和公开企业资料。学生可关注招聘平台或行业协会了解最新动态。","无官网，招聘信息不公开;历史招聘归档信息，可能已过期;工作地点多为分公司，需确认具体岗位;无薪资或作息信息，信息不完整;公告与数据可能存在时效性",""
"浙江省高能爆破工程有限公司","民企","西湖区杭州市","未知","待核对","本科及以上","爆破工程,矿山爆破,地质灾害治理","兵器类,探测制导,安全工程,机械自动化","浙江省高能爆破工程有限公司具备公安部爆破作业一级资质及矿山工程施工总承包壹级资质，主营矿山爆破与地质灾害治理。公司为民营企业，参编了国家《爆破安全规程》，行业实力强。业务方向与弹药工程、安全工程高度对口，是兵器类专业毕业生在民爆工程领域值得考虑的优质就业选择。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.gnbp.cn/"
"深圳市卫飞科技有限公司（含锐巽自动化、大能智造）","民企","广东深圳","样本值（待核对）","双休","本科及以上","国家级专精特新“小巨人”,电子雷管自动化成套装备,民爆行业机器换人,卫飞集团合并重组","兵器类,机械工程,安全工程,自动化","该公司（核心为卫飞集团及锐巽自动化）是国内领先的民爆电子雷管自动化装备供应商。主营高危行业产线自动化、机器换人等业务，具备极强专业壁垒，适合兵器类、机械自动化、安全工程等毕业生，是民爆产业链上的优质技术型企业。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","https://www.ruixunauto.com/"
"深圳市金奥博科技股份有限公司","民企","广东深圳","未知","待核对","待核对","民爆装备,智能制造,信息化服务,民爆一体化","关注民爆智能制造和自动化装备的学生。,机械、自动化、软件、工业互联网方向背景学生。,想避开纯生产一线、关注装备服务的学生。","公开资料显示，金奥博以民爆智能装备、信息化服务和民爆一体化为核心，涉及工业炸药、数码电子雷管生产线及机器人装备。它更偏装备自动化和信息化方向，适合机械、自动化、软件和工艺装备背景学生关注。","不是传统弹药生产单位，岗位匹配需看具体部门。;招聘公告不足，不能判断薪资和作息。;项目交付岗位可能有出差或现场调试。;民爆一体化子公司与总部岗位差异较大。","https://www.kingexplorer.com/"
"湖北三江航天江河化工科技有限公司","国企","湖北省宜昌市远安县","未知","待核对","本科及以上；待核对","国有大型航天企业,固体推进剂装药制造,高能材料生产线,地面试验设施","对军工企业生产工艺感兴趣的本科生,熟悉固体推进剂和含能材料的相关专业学生,愿意在湖北省宜昌远安县工作的学生,关注航天/军工领域职业发展的毕业生","该企业隶属于中国航天科工集团第六研究院（航天推进技术研究院），是国有大型航天企业，成立于1969年，位于湖北省宜昌市远安县。主营业务包括型号发动机设计、装药、总装、地面试验，以及固体推进剂配方研制和高能材料生产，拥有国内最大推力试车台等设备。业务方向与军工、含能材料、火工品、爆破工程等领域高度相关，适合弹药工程与爆炸技术专业学生了解军工企业生产工艺和试验验证。近年来仍有校园招聘宣讲会和相关职位发布，但未找到独立官网，招聘信息主要通过高校就业平台公示，具体岗位数量和薪资需以最新公告为准。企业规模约1000余人，偏向生产操作岗位，工作地点稳定在宜昌远安县。","未找到独立官网，招聘信息可能随时间更新;具体薪资和福利细节待最新公告核实;部分招聘岗位可能偏现场操作;未确认最新招聘岗位数量和报名截止时间;存在涉密和倒班可能",""
"湖北东方化工有限公司","国企","湖北省宜城","未知","待核对","本科及以上","中国兵器工业集团公司所属重点企业,国家保军生产企业,特种化工与含能材料生产,弹药配套梯恩梯主要厂家","从事特种化工与含能材料方向的学生,关注军工企业就业的学生,化学、化工、材料相关专业本科及以上毕业生,有意愿参与科研与生产技术工作的学生","湖北东方化工有限公司隶属于中国兵器工业集团公司，位于湖北省襄阳市宜城市，专业从事特种化工与含能材料生产，是国家保军生产企业和弹药配套厂家，与弹药工程与爆炸技术专业存在直接相关度。公司持续开展校招活动，包括2026届校园招聘，目前通过BOSS直聘等平台发布相关招聘信息，学历要求本科及以上。工作地点为宜城，岗位包括工艺、安全等技术类，具体薪资、作息及是否涉密等细节仍需以官网或最新公告为准。","部分岗位可能涉及保密或现场操作;薪资水平需结合最新公告确认;工作地点仅宜城，签约可能涉及集团子公司;校招公告信息可能随时间更新;暂无公司独立招聘官网，信息来源于第三方平台",""
"湖北凯龙化工集团股份有限公司","国企","湖北荆门","未知","待核对","待核对","民爆行业,原军工企业,爆破业务,硝酸铵","关注湖北民爆企业和爆破业务的学生。,关注化工安全、硝酸铵和民爆生产的学生。,能主动核对国资背景和岗位主体的学生。","公开资料显示，凯龙股份源于原省属军工企业，业务包含民爆产品、爆破业务、硝酸铵及复合肥等板块。其民爆和爆破业务与弹药工程、安全工程相关；最新校招岗位、薪资和作息未形成稳定公开证据。","控制权变更信息需以最新公告为准。;招聘细节不足，不能推断薪资和作息。;民爆生产和爆破业务可能有现场安全要求。;不同业务板块与本专业相关程度不同。","http://www.hbklgroup.cn/"
"湖北汉丹机电有限公司","民企","湖北襄阳","未知","待核对","本科及以上","核心配套,高德红外全资子公司,军工企业","兵器类,探测制导,安全工程,机械自动化","湖北汉丹机电有限公司现为高德红外全资子公司，拥有深厚的军工底蕴。其核心业务覆盖非致命弹药、信息化弹药及引信等特种装备的研发与制造，与弹药工程与爆炸技术专业高度契合。公司常年在各高校开展校招，提供大量研发及工艺相关岗位，是兵器类、电子及机械类毕业生进入军品研发领域的优质平台，强烈建议重点关注。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","https://www.guideir.com/"
"湖北航鹏化学动力科技有限责任公司","国有控股","湖北省襄阳","未知","待核对","硕士及以上为主，本科及以上","航天军工背景,安全气囊气体发生器,含能材料混合装备,院士团队研发","有含能材料或安全系统专业背景的毕业生,关注军工高新技术企业的学生,对研发制造感兴趣的理工科学生,有固定工作需求的应届毕业生","湖北航鹏化学动力科技有限责任公司（原名湖北航鹏化工动力科技有限责任公司）为国有控股军工企业，总部襄阳，专注于汽车安全气囊气体发生器、含能材料混合装备及应急救生产品研发制造。该业务与弹药工程与爆炸技术专业关联度低，主要涉及被动安全系统及含能混合装备，非军用火工品或民爆领域。公开资料显示有高校军工招聘活动，但无爆炸技术相关岗位信号，薪资及作息待核对。适合有含能材料或安全系统背景的理工科毕业生，风险包括工作地点固定及非专业爆炸技术岗位。","工作地点为襄阳总部，可能不涉及爆炸现场;签约单位为公司而非军队单位;公开招聘信息有限，无涉密岗位确认;公告可能过期或不定期;无直接爆炸工程或民爆业务","www.caschp.com"
"湖南兵器资江机器有限公司","国企","湖南益阳","未知","待核对","本科及以上","老牌军工单位,核心配套,国营9656厂","兵器类,机械工程,材料科学与工程,安全工程","湖南兵器资江机器有限公司（原国营9656厂）是湖南兵器工业集团下属核心企业，主要从事大口径轻武器及反器材武器等军品的研发生产。作为老牌军工单位，拥有深厚科研实力。整体工作稳定，福利具有国企特色，非常适合兵器类、机械制造及安全工程等专业毕业生，是从事轻武器研发制造的优质国企平台。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.hoig.com.cn/"
"湖南南岭民用爆破器材股份有限公司","待核对","湖南长沙","未知","待核对","待核对","民爆器材生产,爆破工程服务,矿山开采施工,试验验证","有民爆或爆炸技术专业背景的学生,关注含能材料及安全技术领域,愿意了解国企民爆企业发展的学生,可通过官网投递简历查询最新岗位","湖南南岭民用爆破器材股份有限公司原为湖南省属地方军工企业，主营民用爆破器材生产销售及爆破工程服务，2006年在深交所上市，2023年通过重大资产重组与易普力股份有限公司完成业务整合并更名，业务仍延续民爆及含能材料相关领域。目前为弹药工程与爆炸技术专业学生提供可关注的企业，但由于资料分散，未找到公开的校招公告或具体薪资/作息信息，属于待核对状态。适合有民爆或含能材料专业背景的学生了解企业发展，但需通过官网或学校就业网进一步核实最新招聘信息。","招聘信息需官网或学校就业网实时核对;部分岗位可能涉及生产基地或外派;历史名称下数据与当前公司可能存在交叉;具体薪资及作息未在公开来源中确认;公告可能随重组调整而变化","http://www.expl.ceec.net.cn/"
"湖南神斧集团向红机械化工有限责任公司","国企","湖南岳阳","未知","待核对","本科及以上","军用火工品定点生产,民用爆炸物品,军工二级保密资格,央企核心子公司","兵器类,探测制导,安全工程,机械自动化","湖南神斧集团向红机械化工有限责任公司（现易普力向红）是国家定点生产军用火工品、民爆物品的大型国企，具有深厚的军工底蕴与民用制造实力。其主营业务与兵器类、安全工程及材料类等专业高度对口。作为央企上市公司易普力股份的核心子公司，平台稳定且具备广阔的发展空间，非常适合弹药工程与爆炸技术等对口专业毕业生作为重点求职目标。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.ypl-china.com"
"湖南神斧集团有限公司","待核对","湖南省长沙市","未知","待核对","待核对","国有控股企业,民爆龙头,爆破技术研发","对湖南省民爆行业有兴趣的弹药专业学生,能接受生产基地或多基地工作的学生,了解含能材料历史背景者","湖南神斧集团有限公司为湖南省国资委出资的民爆行业龙头企业（历史资料），主要涉及民用爆破器材生产与爆破技术，旗下存在曾用名湖南神斧集团湘南爆破器材有限责任公司（现易普力湘南爆破器材有限责任公司）。企业历史招聘曾面向弹药工程与爆炸技术专业，但2024-2026年无公开校招公告或官网招聘入口，工作地点多为生产基地（如永州），存在潜在涉密或现场岗位风险，信息可信度中等但需谨慎，因缺乏最新运营数据。","无2024年后校招公告，信息可能已过期;工作地点多为生产基地，非总部;可能存在涉密或现场操作岗位;企业名称历史变更，可能实际运营主体不同;薪资与作息无公开来源","https://baike.baidu.com/item/%E6%B9%96%E5%8D%97%E7%A5%9E%E6%96%A7%E6%B0%91%E7%88%86%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/9825021"
"湖南金石智造科技有限公司","民企","湖南长沙","未知","双休","本科及以上","矿山智能装备,现场混装炸药车,智能仓储,矿山大产能装药机","兵器类,探测制导,安全工程,机械自动化","湖南金石智造专注于矿山智能装备与现场混装炸药车，由机电职院师生共创。其核心产品填补市场空白且应用于重大工程，公司研发实力强且具创新力，极适合兵器类及机械应届生在此扎根发展。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.hnkings.com/"
"湖南金能科技股份有限公司","待核对","湖南省长沙市","未知","待核对","待核对","民用爆破技术研发,工业炸药生产,工程爆破服务,安全评价","对民爆技术、爆破工程有兴趣的学生,愿意在长沙本地工作的本科生,了解爆炸安全技术的相关专业学生,寻求低调科技型岗位者","湖南金能科技股份有限公司（原长沙矿冶研究院子公司，国家民爆行业重点企业）位于长沙市岳麓区，主要从事工业炸药生产、技术研发、工程爆破及安全评价服务。业务方向与弹药工程与爆炸技术专业高度相关，历史招聘简章明确提及弹药工程、火炸药等专业需求，但截至2026年6月，未发现最新校招公告、官网或招聘平台公开信息。企业规模较小（公开信息显示51-200人），可能为现场为主的科技型单位。适合对民爆技术有兴趣的本科或研究生学生，但需关注潜在工作地点不确定、涉密性质及无最新招聘信号的风险。所有结论均基于公开可查资料，来源不完整。","无最新校招公告或官网，招聘信息可能已过期或内部渠道;工作地点可能为现场或生产基地，公开信息有限;企业性质及控股结构不确定，存在历史分立和股权转让记录;可能涉及涉密或安全评价相关岗位;薪资及作息无可靠来源",""
"甘肃省化工研究院有限责任公司","国企","甘肃省兰州市","未知","待核对","本科及以上","省属国企,权威安评资质,科研院所","化工安全、安全工程专业学生,倾向甘肃国企发展的毕业生","甘肃省化工研究院是西北地区具有较强权威性的化工安全及评价机构。该院承担多项省级科技项目，被认定为高新技术企业和国家级中小企业公共服务示范平台。对于安全工程专业的学生，这是一个非常对口且稳定的省属国企平台，但其最新年度招聘指标有待确认。","近期校招岗位清单及具体投递邮箱待核对;待遇信息不够透明","http://www.gsrici.com"
"甘肃银光化学工业集团有限公司","国企","甘肃白银","未知","待核对","本科及以上岗位线索，具体待核对","兵器工业体系,含能材料,特种化工,安全工程岗位","关注含能材料、特种化工和安全工程的学生。,能接受西北生产基地环境的学生。,希望了解兵器工业体系化工单位的学生。","公开资料显示，甘肃银光隶属兵器工业体系，涉及含能材料、特种化工和军民品生产，和弹药工程、安全工程关联较强。学校就业网出现安全工程等岗位线索；薪资、作息、倒班和涉密要求需面试或官方公告核对。","未找到稳定独立官网，主要靠政府专题和招聘入口。;生产岗位可能涉及倒班、安全培训或涉密要求。;薪资和作息没有可靠公开口径。;招聘平台主页只能作入口线索。","https://www.baiyin.gov.cn/bmzq/gsyghxgyjtyxgs/index.html"
"福建海峡科化股份有限公司","国企","福建省永安市","样本值（待核对）","待核对","本科及以上（历史样本，待核对）","民爆产品,武器装备科研生产,爆破服务,国企","关注民爆产品生产的学生,关注爆破服务和安全管理方向的学生,希望了解福建区域国企岗位的学生","福建海峡科化股份有限公司公开资料显示业务涉及民用爆炸物品、武器装备科研生产和爆破服务，与弹药工程、爆破工程和安全技术方向相关。历史招聘样本出现技术、研发、安全、设备管理等岗位线索，但薪资、作息、具体地点和当前岗位仍以最新公告为准。","历史招聘公告不能代表当前仍在招聘。;薪资样本需按最新公告复查。;签约主体和工作地点可能随分公司变化。;作息和现场岗位要求未核验。","http://hxkh.com/"
"福建高能建设工程有限公司","待核对","福建省福州市","未知","待核对","待核对","专业爆破,福建区域,工程施工,招聘入口线索","关注爆破工程现场应用的学生。,关注安全工程、采矿和施工技术岗位的学生。,能接受项目现场和出差可能性的学生。","福建高能建设工程有限公司可作为福建区域专业爆破工程入口。官网和地方招聘平台显示其方向偏爆破、拆除、矿山和现场工程服务，适合关注工程应用的学生；最新资质、岗位、薪资、作息和项目地点仍需复查。","招聘信息来自地方平台，岗位有效性需核对。;项目地点可能不同于总部城市。;爆破岗位可能需要证书和现场经验。;薪资和作息没有稳定公开口径。","http://www.fjgnbp.com"
"舞钢神州重工金属复合材料有限公司","民企","舞钢市平顶山市","未知","待核对","本科及以上","爆炸焊接,层状金属复合材料,军工/石化高端装备材料,专精特新小巨人","兵器类,弹药工程,安全工程,材料类","舞钢神州重工是一家专注于爆炸焊接金属复合材料的民营高新技术企业、国家级专精特新“小巨人”。其产品应用于军工、航空航天等高端装备领域。由于涉及特种爆炸工艺及军工装备材料，与弹药工程、安全工程及材料类专业高度对口。适合愿意投身高端制造与军工材料领域的毕业生发展。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.szzg.cc"
"苏州凤凰动力工业有限公司","民企","江苏省苏州市","未知","待核对","本科及以上","核心配套,防爆仓储,军工AGV","兵器类,探测制导,安全工程,机械自动化","苏州凤凰动力工业有限公司是国内知名的AGV/AMR搬运机器人及电驱动总成研发商。其防爆型舵轮等设备具备军工级防爆认证，已广泛应用于弹药生产线与防爆仓储等高危环境。作为兵器行业的智能化装备配套方，公司在防爆电驱动领域具有技术优势，十分适合机械自动化、电气工程与安全工程相关专业毕业生，可胜任研发或技术支持等核心岗位。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","https://www.phoenixpower.cn"
"西北机电工程研究所","国企","陕西咸阳","未知","待核对","硕士、博士；待核对","国防重点科研单位,火炮技术研发中心,含能材料研究,兵器火炮技术研发中心","对火炮装备研发或含能材料感兴趣的科研型学生,本科及以上学历准备考研或投递科研岗位,喜欢稳定科研环境而非一线生产工作的学生","西北机电工程研究所隶属中国兵器工业集团，是国防重点科研单位，定位为火炮技术研发中心和兵器火炮技术研发中心。业务方向以机械、电子、智能控制等综合技术研究为主，历史上有含能材料领域相关成果，但未见公开确认的民爆或火工品核心业务。校招以硕士、博士研究生为主，主要招聘信号来自高校就业网和招聘平台，工作地点固定在咸阳。企业为科研机构，公开招聘信息极少，存在涉密、保密工作和现场试验验证岗位风险。适合对国防科研、火炮装备或含能材料感兴趣的弹药工程与爆炸技术专业学生，但不适合追求公开透明职位的求职者。","无公开最新校招公告，招聘信号不稳定;工作地点固定但岗位可能涉及试验验证或保密要求;企业性质为科研事业单位，非制造类公司;薪资与作息缺乏可靠公开来源;部分信息来自高校平台，非企业官网",""
"西安北方惠安化学工业有限公司","国企","陕西省西安市","未知","双休","本科及以上，化学工程、材料工程、机械工程等相关专业","国家重点保军企业,军民结合型复合企业,纤维素系列产品,含能材料研发生产","对含能材料、火工品、爆破工程感兴趣的本科生,愿意从事军工相关技术的学生,关注安全技术与工艺制造领域的应届毕业生,喜欢大型国企稳定发展机会的求职者","西安北方惠安化学工业有限公司隶属中国兵器工业集团，是国家重点保军企业，1954年创建于西安市鄠邑区，主要从事军用含能材料、纤维素系列产品及化工产品研发生产，属于军工与民爆领域。公开资料显示其与弹药工程与爆炸技术专业相关度较高，尤其在含能材料、火工品、工艺制造及安全技术方面有技术积累。招聘信号来自智联招聘、猎聘及学校就业网，常见岗位包括工艺操作师、设备管理等，学历要求本科及以上，工作城市为西安市，待遇描述包括双休和住房福利，但无2026年具体薪资。企业规模大，配套设施完善，适合对军工含能材料和爆炸技术感兴趣的学生，但存在军工企业常见特点，如涉密性质及现场作业环境。综合判断为中等相关度企业，可作为参考但需关注官方渠道获取最新信息。","工作地点为厂区，部分岗位可能涉密或需要保密手续;具体薪资范围和作息安排需通过官方渠道确认，无最新公开数据;部分招聘信息为历史或汇总性质，2026年校招动态待核对;军工企业常见倒班或现场作业特征;签约单位可能非纯总部，存在附属机构情况",""
"西安庆华民用爆破器材股份有限公司","国企/待核对","陕西西安","未知","待核对","本科及以上","中国兵器工业集团三级子公司,工业和信息化部定点民爆大型骨干生产企业,国内民用起爆器材品种最齐全规模最大的生产企业,含能材料、火工品研发与制造","弹药工程与爆炸技术专业本科及以上学生,对民爆器材、含能材料感兴趣的求职者,希望在国有企业从事相关技术与制造工作的毕业生","该企业属于中国兵器工业集团三级子公司，是工业和信息化部定点的民爆行业大型骨干生产企业，专业从事工业雷管、导爆管雷管等民爆器材的研发、生产与销售。业务高度相关于弹药工程与爆炸技术专业，包括含能材料、火工品、爆破工程、安全技术等领域。校招存在记录，本科及以上学历、西安本地工作，福利包括五险二金等，适用于相关专业学生就业参考。风险包括招聘公告较旧、具体薪资与岗位未详、实际控制人可能随股权变化而调整。","招聘公告已于2024-2025年发布，需关注最新信号;工作地点为工厂区域，可能涉及现场操作;公司为许可经营的民爆企业，存在准入资质要求;股权存在过渡期，实际控制人可能调整;未找到官网或官方微信公众号入口","https://www.gaoxiaojob.com/announcement/detail/254121.html"
