院校名称,层次标签,所在城市,特色方向,推荐适合人群,深度调研结论,官方招生网入口,风险提示
"东北大学","985 / 211,985/211,安全工程,资源与土木工程学院,粉尘爆炸,安全科学与工程","辽宁省沈阳市","安全科学与工程学科具有悠久历史，是国内安全科学与工程学科发源地之一，依托资源与土木工程学院开设安全工程专业，特色在于粉尘与气体爆炸理论及防治、矿山安全、火灾动力学等领域。","关注矿山安全、粉尘爆炸、火灾防治等安全领域的学生
希望从事职业安全、应急管理、安全评价的考生
对东北地区工业安全需求感兴趣的理工科生","东北大学与弹药工程与爆炸技术、兵器科学与技术等专业无直接本科关联，仅通过资源与土木工程学院的安全工程专业（代码082901）存在间接交叉点，该专业核心特色包括粉尘与气体爆炸理论及防治、矿山安全高效开采、火灾动力学等领域，符合安全科学与工程学科方向。学校为985/211，在辽宁省沈阳市，安全科学与工程为国内最早设立之一的学科，研究生授权点全面。就业信号显示毕业生主要去向为国有企业及相关行业，落实率约88-92%。报考风险主要在于专业名称变化、招生省份限制及就业数据不够细致，建议结合各省招生目录与最新就业报告核实。总体关联度中等，适合关注工业安全、应急管理领域的考生。","https://www.neu.edu.cn/","安全工程专业属于工学门类，招生省份及分数线需按各省招生目录核对
本科招生专业名称可能随学院调整或目录更新而变化
就业去向以国企、矿山相关企业为主，具体数据待最新就业报告核实
未明确开设弹药工程与爆炸技术本科专业，相关方向以研究生为主"
"中南大学","985 / 211,双一流,985,211,材料科学,安全工程","湖南长沙","材料科学与工程、资源与安全工程为主的工科强势学科","理工科成绩优秀、热爱材料与安全领域的本科生
关注爆炸技术与工程应用、矿业安全方向的学生
希望通过材料科学与工程或安全工程专业就业或深造的学生","中南大学为985/211工程高校，位于湖南长沙，拥有材料科学与工程学院（含材料科学与工程专业）与资源与安全工程学院（含安全工程专业）。学校与弹药工程与爆炸技术、兵器科学与技术、爆炸力学、含能材料、爆破工程、安全工程等领域有间接关联，主要通过材料科学与工程的含能材料研究及资源与安全工程的安全科学与工程平台体现，但弹药工程与爆炸技术本科专业未在官网或招生目录中明确开设。就业与升学方向以安全技术、材料研发、矿业工程为主。报考风险包括专业名称变化、招生省份限制及分数线需省内核对，建议优先查看中南大学招生网与各学院官网最新信息。","https://www.csu.edu.cn/","弹药工程与爆炸技术专业未在官网或招生目录中开设，建议查看各省招生计划
专业名称可能随学院调整，需核对最新专业目录
招生省份限制与分数线因省份不同，需以中南大学招生网为准
就业数据多为学院汇总，非具体专业细化，建议参考就业报告"
"中国人民解放军海军工程大学","普通本科,军事院校,海军重点,武器系统,普通本科","湖北武汉","海军舰船武器装备技术与发射系统，涉及武器发射工程等方向","对海军装备与武器系统有兴趣的学生
追求指技结合的理工科人才
愿意从事军队工程保障工作的考生","中国人民解放军海军工程大学为海军重点建设院校，校本部位于湖北省武汉市，普通本科层次。学校设有武器发射工程等专业，支撑兵器科学与技术学科，培养舰船武器系统与发射方向的专业技术军官。该专业与弹药工程与爆炸技术、兵器科学与技术、爆炸力学等方向存在关联，但非独立独立专业，属于海军装备技术范畴。报考需关注官方招生简章，政治考核与省份限制严格，就业主要面向军队舰船武器保障岗位。","https://www.nue.edu.cn/","专业为军事招生院校，招生省份与政治考核限制严格
具体招生专业及分数线以官方简章为准
非民办或地方本科，培养目标为军队军官"
"中国人民解放军火箭军工程大学","211,军事院校,双一流,核技术,兵器科学","陕西西安","导弹武器运用工程为核心，以核科学与技术、兵器科学与技术等学科培养战略导弹部队指挥技术人才","对导弹武器技术有浓厚兴趣的考生
国防科技强国理念坚定者
适合从事军工科技研发的理工科学生","中国人民解放军火箭军工程大学是火箭军多兵种专业类高等教育院校，隶属中国人民解放军火箭军，位于陕西西安市，属军队2110工程重点建设院校。该校围绕战略导弹武器作战使用与管理维护指挥技术人才培养，以核科学与技术、兵器科学与技术、控制科学与工程等5个一级学科博士点为龙头，辐射防护与核安全、武器发射工程等15个生长军官本科专业为主体。现有工学、军事学、管理学3大学科门类，2个国家重点学科。学校培养目标为战略导弹部队骨干军官和未来领导者，毕业生主要去向为军队部队，100%入伍率相关公开信号显示职业发展空间强。专业与弹药工程与爆炸技术、兵器科学与技术、核技术与安全等方向存在高度关联（武器发射工程、核技术与安全等专业含炸药理论、辐射防护等内容）。报考需关注招生省份限制、分数线及专业名称变化，待核对最新目录。","https://www.epgc.mil.cn/","本科招生专业有限，需核对2026年具体目录
录取分数线及招生省份限制待最新核对
专业设置可能随年度调整
就业主要限于军队部队"
"中国人民解放军空军工程大学","普通本科,军事院校,空军,西安,装备管理","陕西西安","空军航空工程、防空反导、装备管理与无人机、智能指挥等领域复合型军事人才培养","热爱军事科技、愿献身国防的青年
对工程装备、指挥规划感兴趣的考生
接受军事化生活与严格纪律的学员","中国人民解放军空军工程大学是空军专业技术最高学府，位于西安市，属于全军重点建设院校。学校开设装备管理与无人机工程学院，涵盖装备管理科学、装备安全工程等相关领域，与弹药工程与爆炸技术、兵器科学与技术、含能材料、安全工程等方向存在学术与研究关联，但未明确开设独立本科专业。学科评估中兵器科学与技术进入前10位，航空宇航科学与技术前10位。招生为军事类，限特定省份，适合有国防情怀和工程兴趣的考生。就业主要在空军部队，数据公开有限。总体可信度较高，但需关注专业名称变化与当年招生政策。风险包括报考省份限制与就业去向保密。","https://www.afeu.edu.cn/","招生仅限特定省份与体检标准
专业名称与招生计划每年可能调整
分数线与计划需按当年省份招生网核对
就业与发展主要服务空军部队"
"中国人民解放军陆军工程大学","普通本科,军事院校,兵器学科,爆炸技术,弹药工程","江苏南京","培养陆军武器系统、弹药工程、爆破与作战工程人才","对军事工程感兴趣的考生
想从事武器系统与弹药领域技术/指挥工作的学生
认可军队军旅生活与使命感的学员
关注爆炸力学与安全工程应用的感兴趣群体","中国人民解放军陆军工程大学与弹药工程与爆炸技术专业关联紧密，隶属于兵器科学技术学科群及作战工程保障学科群。该校是陆军综合性工程大学，本部位于江苏南京，培养方向聚焦武器系统、弹药论证设计、技术保障、爆破作战等，属普通本科性质，招生主要面向考生和军人学员，适合对军事工程与技术感兴趣的学生。就业以军队内部岗位为主，公开信号包括学科群专业介绍与招生专栏。报考风险包括专业可能年度调整、招生省份限制及具体分数线需按省份核对，数据不够细。来源均来自学校官网及公开招考目录。","https://www.aeu.edu.cn/","招生主要面向普通高中毕业生及军人考生
具体招生省份及专业以当年招生简章为准
专业名称可能随年度调整，需核对最新目录
就业去向以军队内部岗位为主，数据不够公开细化"
"中国人民解放军陆军炮兵防空兵学院","普通本科,军校,炮兵防空,工学本科,兵器科学","安徽合肥","军事炮兵防空指挥与弹药技术融合培养","军事院校热爱者
工科本科专业考生
需基层指挥与技术结合的学员","中国人民解放军陆军炮兵防空兵学院是军队炮兵防空专业人才培养基地，专业设有弹药工程与爆炸技术（防空导弹技术与指挥方向），涵盖军事指挥与技术融合培养。2017年组建，现隶属2025年新设陆军兵种大学（合肥本部）。属于普通本科军校，面向普通高中生招生。弹药专业与兵器科学、爆炸力学、含能材料、安全工程等直接关联，适合军事工程背景考生。招生为军地联考，专业名称稳定但无最新目录，招生数量与分数线待具体省份核对，就业主要指向部队岗位。风险包括院校调整与招生限制。","待核对","招生需军地政审
无具体招生人数来源
专业方向可能随院校调整变化"
"中国人民解放军陆军装甲兵学院","211,军事院校,装甲兵,陆战之王,本科教育,研究生教育","北京市北京","培养装甲兵指挥、参谋、技术保障军官与士官，重点工科+军事学综合学科体系","热爱陆军装甲兵装备与战术的理工科学生
志在国防事业、军事指挥与工程技术结合的考生
注重实战化训练与综合素质培养的高中生
希望在军队发展、从事武器装备与作战保障的青年","中国人民解放军陆军装甲兵学院作为全军装甲兵人才培养基地，与弹药工程与爆炸技术专业高度关联（依托兵器科学与技术一级学科，支持弹药设计、爆炸力学、含能材料等方向培养）。学校为普通本科军事院校，院本部北京，招生面向全国部分省份。就业主要限于陆军合成部队，专业特色鲜明但数据不公开细化。报考时需注意招生省份限制与计划更新，待复查2025年后招生简章。","http://www.81.cn/jx_208569/10054500.html","专业设置与招生计划每年更新，需查最新计划
招生面向全国部分省份，具体限额按省核对
军事院校招考强调政审、体检与政治考核
就业主要在陆军合成部队，数据不公开细化"
"中国劳动关系学院","普通本科,双一流,安全工程,普通本科,工会相关","北京北京","劳动安全与安全工程相关人才培养","对劳动安全、工会工作感兴趣的学生
想从事安全管理或应急技术的人才
接受普通本科培养的考生
偏好工会体系发展机会的学生","中国劳动关系学院关联弹药工程与爆炸技术、兵器科学与技术等方向程度低，主要侧重劳动安全与安全工程培养，未见相关专业设置。学校为普通本科，位于北京，由全国总工会共建。安全工程专业（国家级一流本科建设点）开设于安全工程学院，具有工业安全与劳动安全一体化特色，培养方向包括安全管理、安全技术与应急管理。招生在全国31个省份，规模约1550人。就业信号显示企业为主，升学占比较高。报考风险包括专业可能调整、招生省份限制与分数线需省核对，就业数据较粗。","https://www.culr.edu.cn/","专业名称可能随学院调整
招生省份限制待核对
分数线需按省份具体查询
就业数据不够细致"
"中国地质大学（武汉）","211,双一流,211,地质特色,安全工程,工程学院","湖北省武汉","以地质资源与地质工程学科为核心的工科专业培养","对地质资源开发、工程地质和安全防灾感兴趣的理工科学生
追求地学与工程交叉应用的本科生
希望通过安全工程或地质工程方向服务国家资源与安全领域的学生","中国地质大学（武汉）为教育部直属211高校，核心优势学科为地质资源与地质工程和地质学，地处武汉。工程学院开设安全工程本科专业（代码082901），培养方向聚焦安全科学与工程，适合关注工程地质、资源开发与安全防灾的学生，但未开设弹药工程与爆炸技术、兵器科学与技术或含能材料等专业，因此与该专业方向关联程度较低。学校层级为211，招生目录明确包含该专业但无公开具体计划或就业细化数据。报考风险包括专业不匹配、招生省份限制以及需按省份核对分数线。可靠来源为学校官网本科专业设置页及工程学院官网。","https://www.cug.edu.cn/","弹药工程与爆炸技术专业非本校开设专业
本科专业招生省份限制与分数线需按省份核对
招生计划具体数字待最新官方目录确认
就业数据主要为综合性指标，具体去向需核对"
"中国消防救援学院","普通本科,应急管理,消防救援,应急管理部直属,普通本科","北京北京","消防救援实战应用，培养消防工程、火灾勘查等专业人才","对消防安全、应急救援有浓厚兴趣的考生
希望从事消防或应急管理职业的理工科考生
追求体制内稳定就业的考生
关注实战技能与理论结合的考生","中国消防救援学院隶属应急管理部直属，专业方向以消防工程、火灾勘查、应急装备技术与工程为主，聚焦实战应用。学生可关注该校相关消防安全、救援指挥与应急管理方向，但弹药工程与爆炸技术等专业未在官方资料中明确列出。学校为普通本科层次，招生主要面向消防相关专业，培养目标与国家消防救援队伍需求高度匹配。就业以消防队伍录用为主，体制内优势明显。","https://www.cfri.edu.cn/","专业名称可能随改革调整
招生省份限制明显
分数线需按具体省份核对
就业数据主要体现为消防队伍录用
部分专业对选考科目有要求"
"中国石油大学（华东）","211,211,双一流,青岛,安全工程,油气安全","山东青岛","油气化工安全和安全工程近相关。","关注油气化工安全、安全评价和应急处置的学生。
希望比较能源行业背景安全工程院校的学生。","中国石油大学（华东）不属于弹药工程直接对应院校，但安全工程专业与油气、化工安全管理、安全评价和应急处置近相关。后续可作为能源行业安全工程候选人工确认，不能写成弹药工程本科招生。","https://www.upc.edu.cn/","未确认开设弹药工程与爆炸技术本科专业。
课程或学科方向不能替代本科弹药专业证据。
分省计划、招生人数、录取分数和就业去向均需待核对。"
"中国矿业大学","211,211,双一流,徐州,安全工程,矿业安全","江苏徐州","安全工程、矿业安全和工程力学方向相关。","关注安全工程、矿山安全、工程力学和爆破安全的学生。
希望把安全类专业与矿业工程场景一起比较的学生。","中国矿业大学与安全工程、矿业安全、工程力学和爆破安全场景关联较明确，适合关注安全与矿业工程方向的学生。本条不把研究方向写成本科弹药专业，分省计划、录取数据和就业去向仍需回到本科招生网和官方报告核对。","https://www.cumt.edu.cn/","爆破、爆炸力学多为工程和研究方向线索，不等于本科弹药专业。
分省计划、录取分数、专业组和选科要求需以招生网为准。
就业率和行业去向未逐项核验前只作待核对。"
"中国矿业大学（北京）","211,211,双一流,北京,安全工程,应急管理","北京北京","安全工程、矿业安全和应急方向相关。","关注安全工程、矿山安全、应急管理和工程安全的学生。
希望在北京对比安全类和矿业类院校资源的学生。","中国矿业大学（北京）与安全工程、矿业安全、应急管理和工程安全场景关联较明确。本条只把爆破、爆炸力学等内容作为进一步核对线索，不写成本科弹药专业。报考时需按招生网核对专业、计划、分数和就业报告。","https://www.cumtb.edu.cn/","爆破和爆炸方向多为工程或研究线索，不能替代本科招生证据。
分省招生计划、录取分数和选科要求需以当年招生入口为准。
就业率、就业单位和升学去向未逐项核验前不要当确定结论。"
"中国科学技术大学","985 / 211,985,211,双一流,合肥,火灾爆炸,安全科学","安徽合肥","火灾爆炸动力学与安全科学高相关。","关注火灾科学、爆炸动力学及高精尖科研的学生。
希望在安全科学与工程领域继续读研深造的学生。","中国科学技术大学在火灾爆炸与安全科学研究及安全工程培养方向上具备深厚底蕴。不属于直接开设弹药工程本科的学校，但其研究生方向、国家重点平台等在爆炸、冲击、工业防爆领域高相关，适合作为优质考研与跨考参考。","https://www.ustc.edu.cn/","未开设弹药工程与爆炸技术本科专业，以安全工程及考研方向高相关报考。
火灾与爆炸动力学课程不作为本科弹药工程对应，主要面向高水平研招。
分省招生人数和各省位次需按招生章程核对。"
"内蒙古科技大学","普通本科,普通本科,双一流,区域特色,工科强校","内蒙古包头","工科为主，稀土冶金材料等特色领域，含安全与工程相关专业","对稀土、冶金、矿业感兴趣的工科学生
注重工程实践与产业融合的考生
想在内蒙古或西北就业的普通本科生
具有扎实力学或安全工程基础背景","内蒙古科技大学为普通本科院校，位于内蒙古包头，工科强校以稀土冶金矿业为特色，在安全科学与工程及机械领域设有相关专业或方向。弹药工程与爆炸技术等专业虽未见招生目录明确列出，但学校曾举办爆破工程研讨会及有教师背景关联，关联为中低。学校层次普通本科（非985/211），招生专业涵盖工科，特色鲜明但非国防重点。就业信号来自学校报告：制造业占比高，就业落实率约90%。考生需谨慎核对专业名称变化、招生省份及分数线。风险点包括专业可能调整、数据不够细致。","https://www.imust.edu.cn/","弹药工程与爆炸技术等专业未在招生专业目录明确列出
专业名称可能随学院调整或停招
分数线与就业数据需按省份及最新报告核实
招生省份限制待官方确认"
"北京石油化工学院","普通本科,普通本科,北京,安全工程,危化品安全,应急管理","北京北京","危化品安全、城市安全和应急管理近相关。","关注危险化学品安全、城市安全和应急管理的学生。
希望比较北京地区安全工程近相关院校的学生。","北京石油化工学院不属于弹药工程直接对应院校，但安全工程专业与城市公共安全、化学品安全和职业安全健康近相关。后续可作为危化品安全和城市安全候选人工确认，不能写成弹药工程本科招生。","https://www.bipt.edu.cn/","未确认开设弹药工程与爆炸技术本科专业。
研究方向和科研平台不能替代本科弹药专业证据。
分省计划、招生人数、录取分数和就业去向均需待核对。"
"北京科技大学","211,211,双一流,北京,安全工程,矿山安全","北京北京","矿山安全与工业防爆近相关。","关注工业防爆、矿山通风防尘及安全评价的学生。
希望在北京高校深造安全科学与工程的学生。","北京科技大学在矿山安全与undefined研究及安全工程培养方向上具备深厚底蕴。不属于直接开设弹药工程本科的学校，但其研究生方向、国家重点平台等在爆炸、冲击、工业防爆领域高相关，适合作为优质考研与跨考参考。","https://www.ustb.edu.cn/","无弹药工程本科专业，以安全工程近相关口径报考。
研究生方向包含火灾与爆炸灾害控制、工业系统风险评价。
录取位次和分省招生人数需按各省报考政策核对。"
"北京航空航天大学","985 / 211,985,211,北京,航空航天,探测制导","北京北京","航天探测制导和飞行器控制近相关。","关注航天探测制导、飞行器控制和国防科技的学生。
希望比较高层次航空航天类近相关院校的学生。","北京航空航天大学不属于弹药工程直接对应院校，但学校本科专业页、宇航学院和仪器光电学院可核到探测制导与控制技术等航天制导控制本科方向。后续可作为航天探测制导近相关候选人工确认，不能写成弹药工程本科招生。","https://www.buaa.edu.cn/","未确认开设弹药工程与爆炸技术本科专业。
探测制导与控制技术不能替代弹药工程本科证据。
分省计划、录取分数、招生人数和就业去向均需待核对。"
"华北科技学院","普通本科,应急管理部直属,安全工程,爆炸安全,应急技术,普通本科","河北燕郊","应急管理、煤炭安全、爆炸灾害防治与应急技术","对应急管理、煤炭安全感兴趣的学生
想从事爆炸灾害防治或安全工程的理工科生
接受准军事化实战培养的考生
注重就业与行业资源的普通本科生","华北科技学院（现称应急管理大学）是应急管理部直属普通本科高校，位于河北燕郊，办学定位服务大国应急管理。学校开设安全工程、应急技术与管理、化工安全等专业，特色培养在爆炸安全、灾害防治与应急技术方向，与弹药工程与爆炸技术、爆炸力学、含能材料、安全工程等高度关联。招生面向全国，采取专业志愿优先录取；就业以安全工程相关单位为主，升学方向为研究生。待核对专业目录变化与省份限制。","https://www.ncist.edu.cn/","专业名称可能随应急管理大学筹建调整
招生省份限制存在，需核对各省最新计划
安全工程专业分志愿优先不设级差
爆炸相关专业关联需通过安全/应急技术方向实现"
"南京工业大学","普通本科,普通本科,南京,安全工程,消防工程,化工安全","江苏南京","化工安全、安全工程和消防工程近相关。","关注化工安全、危险化学品安全和消防工程的学生。
希望比较江苏地区安全工程近相关院校的学生。","南京工业大学不属于弹药工程直接对应院校，但安全工程、消防工程和化工安全工程方向与危险化学品安全、燃烧爆炸理论近相关。后续只能写安全工程近相关，不写弹药本科结论。","https://www.njtech.edu.cn/","未确认开设弹药工程与爆炸技术本科专业。
研究生方向和学科评估不能替代本科专业证据。
分省计划、招生人数、录取分数和就业去向均需待核对。"
"南京理工大学","211,211,双一流,南京,兵器相关,弹药工程","江苏南京","兵器、弹药、爆炸相关方向有官方专业入口。","关注兵器、弹药、爆炸技术相关本科专业的学生。
希望通过官方招生网核对专业介绍和分省计划的学生。","南京理工大学本科招生网有兵器类（弹药工程与爆炸技术）专业介绍，2026年招生章程也已发布，专业方向与弹药、爆炸技术和兵器科学相关。报考时仍需按省份核对当年招生计划、专业组、录取分数和就业报告。","https://www.njust.edu.cn/","弹药工程与爆炸技术专业介绍页面较早，报考前需核对当年招生计划。
分省计划、专业组、录取分数和选科要求要以当年招生网及省招办公布为准。
就业去向和升学数据需回到学校官方就业质量报告逐项复核。"
"南京航空航天大学","211,211,双一流,南京,航空航天,探测制导","江苏南京","航空航天探测制导和控制近相关。","关注航空航天制导、飞行控制和国防科技的学生。
希望比较工信部航空航天类近相关院校的学生。","南京航空航天大学不属于弹药工程直接对应院校，但本科招生网、2026招生章程和自动化学院页面可核到探测制导与控制技术等航空航天制导控制本科方向。后续可作为航空航天制导控制近相关候选人工确认，不能写成弹药工程本科招生。","https://www.nuaa.edu.cn/","未确认开设弹药工程与爆炸技术本科专业。
探测制导与控制技术属于近相关，不能写成弹药本科。
分省计划、录取分数、招生人数和就业去向均需待核对。"
"哈尔滨工业大学","985 / 211,985,双一流,工科强校,哈尔滨,材料化学","黑龙江哈尔滨","工科强校，以材料科学与工程、化学工程与工艺为核心，含能材料方向依托化工学院研究","高分理工考生想读顶尖工科强校
对材料、化学或能源感兴趣的学生
计划深造或从事相关科研领域
追求创新与实战结合的教育环境","哈尔滨工业大学（哈工大）作为中国顶尖工科强校，拥有化工与化学学院及材料科学与工程学院，可通过化学工程与工艺、新能源材料与器件或材料相关专业培养，培养目标涉及含能材料研究与爆炸相关领域。学校与弹药工程与爆炸技术方向存在高层次科研关联（如航空弹药研究院合作、含能材料博士方向），但未在本科招生专业目录中发现直接对应专业，学生需通过相关专业报考或转研。学校层次为985/211，位于哈尔滨，优势在于材料与化学领域创新能力强。就业方向多指向科研院所、军工企业或化工行业，升学以研究生为主。总体关联性中，适合对含能材料、材料科学有兴趣的理工背景学生，但需注意专业对口性。","https://www.hit.edu.cn","无直接弹药工程与爆炸技术或兵器科学与技术本科专业，需通过材料或化学相关专业报考
爆炸相关方向主要在研究生阶段或含能材料研究
需按报考省份核对最新招生计划和分数线
就业数据需结合就业报告详细查询"
"哈尔滨工程大学","211,211,双一流,哈尔滨,国防特色,装备方向","黑龙江哈尔滨","船海、核、航天等国防装备方向相关。","关注国防装备、船海工程、核安全或航天工程方向的学生。
希望通过招生网逐项核对专业大类和学院入口的学生。","哈尔滨工程大学的国防装备、船海、核和航天方向与军工装备场景相关，但本草稿不把弹药工程与爆炸技术写成本科招生事实。适合先看装备、力学和安全相关入口，再按招生网核对当年专业大类、计划和录取数据。","https://www.hrbeu.edu.cn/","未把弹药工程与爆炸技术写成本科招生事实，需以当年招生计划为准。
国防特色不等于所有专业都对口弹药或爆炸方向。
分省计划、选科要求、录取分数和就业去向需逐年复查。"
"国防科技大学","985 / 211,985,211,双一流,军校,武器系统","湖南长沙","武器系统、导弹工程和信息对抗近相关。","关注武器系统、导弹工程和国防科技方向的学生。
能接受军校政治考核、体检和服役要求的学生。","国防科技大学不属于弹药工程直接对应院校，但本科招生网和理学院页面可核到武器系统与工程，选考科目页面还列出导弹工程、信息对抗技术等方向。可作为军工装备强近相关院校，军校招生计划、体检政审和分省录取均需待核对。","https://www.nudt.edu.cn/","军校招生口径特殊，须以当年本科招生网、招生计划和省级招办信息为准。
武器系统与工程不能写成弹药工程与爆炸技术本科。
分数线、招生人数、就业去向和服役安排均需按官方年度材料复核。"
