院校名称,层次标签,所在城市,特色方向,推荐适合人群,深度调研结论,官方招生网入口,风险提示
"大连理工大学","985 / 211,985,双一流,力学,化工,军工","辽宁大连","力学、化学工程与技术等工科强势学科，力学为一级国家重点学科，化学工程与技术为首批国家重点学科","对力学、爆炸力学等基础学科感兴趣的学生
关注化工、含能材料方向的高年级生
追求深厚理论与工程应用结合的复合型人才","大连理工大学为国家985/211重点大学，核心优势学科包括力学（一级国家重点）和化学工程与技术（首批国家重点），力学与航空航天学院和化工学院提供相关理论基础，但未见本科专业直接设置弹药工程与爆炸技术、兵器科学与技术或爆炸力学等方向。安全科学与工程为研究生专硕，含能材料研究活跃（师生赴兵器所交流）。就业率高但去向较泛，军工、化工、航空航天为主。报考风险主要在专业名称变化及招生限制，建议查当年专业目录和招生计划。总体关联为中高层级，适合对基础力学或化工方向有兴趣的学生。","https://www.dlut.edu.cn/","力学、化学工程与技术为优势学科，但爆炸技术具体方向未见本科独立招生
安全工程为专硕，可关注就业方向
学科变化及招生省份限制需按当年专业目录核对
就业数据需查学校最新质量报告，具体去向较泛"
"太原工业学院","普通本科,应用型本科,省属高校,山西省,国防传统,安全工程","山西省太原市","应用型本科，工科为主，历史传承兵工传统，注重产教融合","对应用型工科感兴趣的理工学生
关注安全与应急领域专业的人
想在山西省发展且重视就业与实践的学生
喜欢机械工程或相关交叉学科的考生","太原工业学院为山西省普通本科应用型高校，创建于1954年，历史上有国防工业背景（兵工传统），但当前专业目录中未见弹药工程与爆炸技术、兵器科学与技术等方向；主要涉及机械、材料、环境与安全工程等。适合关注安全工程、应急技术及机械交叉领域的学生，但专业关联性较低。就业信号一般，招生面向全国部分省份，需核对当年分数线与计划。资料主要来源于学校官网及招生办页面，数据更新至2026年，核心事实可靠但具体专业支撑不足。","https://www.tit.edu.cn/","专业名称可能随年份调整，需以当年招生目录为准
招生省份有限，具体分数线需省份核对
就业数据较粗，未见精确炸药/兵器方向去向统计
无国家211/985认定，属普通本科"
"太原理工大学","211,211,双一流,太原,安全工程,力学线索","山西太原","安全工程、力学和能源工程方向需核对。","关注安全工程、力学、能源工程和山西区域资源的学生。
希望在211层次内对比安全与工程方向的学生。","太原理工大学可作为211层次内安全工程、力学和能源工程方向的对比院校。本条不把力学、能源或安全平台写成弹药本科专业，报考前应通过本科招生网、教务入口和就业信息网核对专业、计划、录取和就业材料。","https://www.tyut.edu.cn/","本条不确认弹药工程与爆炸技术本科招生，需查当年计划。
力学和安全方向多为相关线索，不能替代本科专业证据。
分省计划、录取分数和就业去向需逐年核对。"
"安徽理工大学","普通本科,普通本科,淮南,安全工程,弹药工程,民爆相关","安徽淮南","安全工程、弹药工程与爆炸技术等方向相关。","关注安全工程、爆破工程或特种能源材料工程应用的学生。
希望了解民爆、化工安全及应急管理相关去向的学生。","安徽理工大学在安全工程、弹药工程与爆炸技术等方向有辨识度，适合关注民爆、应急安全和工程应用的学生。报考时应以本科招生网核对分省计划、专业名称和录取数据；就业数据需以学校官方最新报告为准。","https://www.aust.edu.cn","需要区分弹药工程与爆炸技术、安全工程等专业在培养方向和就业场景上的差异。
部分现场类岗位或野外爆破作业对身体素质、性别或工作环境有特定要求，应提前了解。
报考前需通过官方招生网核对各省最新招生专业、分省计划和录取数据。"
"山东石油化工学院","普通本科,化工特色,省属本科,石油化工,普通本科,双一流","山东省东营市","石油化工特色为主，化学工程与工艺为主导专业方向","石油化工、化工安全等领域有兴趣的学生
喜欢化工工艺设计与应用的研究生
希望留在东营或山东从事能源化工的考生
重视应用型人才培养的本科生","山东石油化工学院为山东省东营市普通本科高校，化学工程学院是核心学院，开设化学工程与工艺、化工安全工程等专业，侧重石油化工化工工艺与安全领域。学校层次为普通本科，无弹药工程与爆炸技术等专业开设记录，学生需自行核对招生目录。就业主要在石油化工及相关行业，来源为官网及学院公开宣传。报考风险包括专业名称可能变化、分数线需省份核对、就业数据粗略。可靠来源为学校官网及化学工程学院官网。","https://www.sdipct.edu.cn/","专业名称可能随年份调整，建议查招生目录确认
面向全国招生，但需按省份核对分数线和计划
就业主要在石油化工领域，数据较粗略
化工安全工程等专业关联有限，非专业核心方向"
"山东科技大学","普通本科,普通本科,青岛,安全工程,矿业安全,工程技术","山东青岛","安全工程、矿业安全和工程技术方向相关。","关注安全工程、矿业安全、工程技术和山东区域资源的学生。
希望对比普通本科安全类院校和就业区域的学生。","山东科技大学与安全工程、矿业安全和工程技术方向相关，可作为安全类和矿业类普通本科院校对比。本条只保留工程安全线索，不把爆破或爆炸相关内容写成本科弹药专业。招生、录取和就业去向需查官方年度材料。","https://www.sdust.edu.cn/","爆破或爆炸技术相关内容需按专业介绍和培养方案核对。
分省计划、专业组、选科要求和录取分数以当年招生网为准。
就业去向和就业率未逐项官方核验前只作待核对。"
"常州大学","普通本科,普通本科,江苏,安全工程,消防工程,化工安全","江苏常州","石油化工安全和安全工程近相关。","关注石油化工安全、安全评价和应急管理的学生。
希望把安全工程作为弹药爆炸方向相邻参考的学生。","常州大学与弹药工程不属于直接对应关系，但安全工程、消防工程和应急技术与管理方向与化工安全、火灾爆炸风险防控近相关。后续若进入人工确认，应只写近相关，不写弹药本科结论。","https://www.cczu.edu.cn/","未确认开设弹药工程与爆炸技术本科专业。
分省计划、招生人数和录取分数需按当年招生网核对。
就业率和就业去向未逐项核验前只能写待核对。"
"广东石油化工学院","普通本科,石油化工特色,应用型本科,广东省共建,能源安全,安全工程专业","广东省茂名市","石油化工特色应用型大学，能源与动力工程学院开设安全工程专业，涵盖化工安全、燃烧爆炸学等方向","对石油化工产业感兴趣的学生
希望从事化工安全、爆炸风险管理的工作群体
偏好应用型工程教育的本科生
关注能源与安全领域的专业","广东石油化工学院是广东省人民政府与中石化等共建的普通本科高校，定位为应用型理工科大学，石油化工特色突出。能源与动力工程学院设有安全工程专业，培养石化安全人才。燃烧爆炸学课程与爆炸力学、含能材料有一定知识交叉，但未见弹药工程与爆炸技术、兵器科学与技术等专业本科入口。学校在全国招生，面向全国29个省份。就业主要指向石油化工、能源安全及相关行业，升学方向为硕士。专业与用户目标关联性中等，仅安全工程方向有工程安全侧重。","https://www.gdupt.edu.cn/","安全工程专业非弹药工程与爆炸技术本科专业入口
本科招生面向全国招生省份，具体分数线需按省份核对
就业数据主要为年度报告摘要，需参考具体专业
专业名称可能随学校调整，招生前查官网最新"
"应急管理大学","普通本科,普通本科,应急管理,安全工程,化工安全,矿山安全","河北廊坊","安全工程、应急管理和化工安全近相关。","关注安全工程、应急技术与管理和化工安全的学生。
希望比较应急管理部直属安全类院校的学生。","应急管理大学不属于弹药工程直接对应院校，但安全工程、应急技术与管理、化工安全和矿山安全方向与爆炸灾害防治近相关。因学校为新设，后续必须按最新官方招生章程核对专业口径。","https://www.ncist.edu.cn/","新设学校招生口径需按当年官方章程核对。
未确认开设弹药工程与爆炸技术本科专业。
分省计划、招生人数、录取分数和就业去向均需待核对。"
"昆明理工大学","普通本科,普通本科,昆明,安全工程,应急管理,防灾减灾","云南昆明","安全工程、应急管理和防灾方向相关。","关注安全工程、应急管理、防灾减灾和区域工程场景的学生。
希望比较西南地区安全类普通本科院校的学生。","昆明理工大学与安全工程、应急管理和防灾减灾方向相关，可作为西南地区安全类院校对比。本条不把安全工程写成弹药或爆炸技术本科专业，招生计划、录取数据和就业去向仍需通过官方入口逐项核对。","https://www.kmust.edu.cn/","本条不确认弹药工程与爆炸技术本科招生，需查当年计划。
安全工程和应急管理不能直接等同于爆炸或弹药方向。
分省计划、录取分数和就业去向需回到官方年度材料。"
"武汉工程大学","普通本科,湖北省重点建设高校,湖北省国内双一流建设高校,化工与机电优势学科,化工类与机械类专业,普通本科","湖北武汉","以工为主、化工与机电为特色，覆盖工理管经文法医等九大学科门类","对化工、机械、材料相关领域感兴趣的学生
希望通过工程教育认证专业提升就业竞争力者
对资源安全、应急管理方向感兴趣的考生","武汉工程大学与弹药工程与爆炸技术、兵器科学与技术、爆炸力学等方向关联有限，仅通过化工与机电学院的化工类（化学工程与技术）和资源与安全工程学院的安全工程、应急技术与管理等相关专业存在交叉。学校为普通本科层次，学科优势在化学工程与技术（B+），专业特色聚焦化工、机械、资源安全等领域。招生面向全国本科，适合对工程技术、资源管理感兴趣的学生。就业以协议就业、研究生为主，但具体数据需查阅最新报告。报考风险包括专业可能调整、招生省份限制及就业数据不够细。可靠来源包括学校官网、信息公开网和学院官网。","https://www.wit.edu.cn/","专业名称可能随学科调整而变化
招生省份限制需按当年招生计划核对
具体分数线和招生人数需按省份招生目录核对
就业数据不够细致，需查阅最新报告"
"武汉理工大学","211,211,双一流,安全工程,应急管理,交通行业","湖北武汉","安全工程与应急管理为主，关联爆炸力学、含能材料、兵器科学与技术等方向","对安全与应急感兴趣的学生
理工类专业想从事相关行业的考生
偏好交通、能源领域发展的学生","武汉理工大学作为211双一流高校，在安全工程与应急管理领域有突出特色，安全科学与应急管理学院负责相关本科教育。该院及学校存在与爆炸力学、含能材料、兵器科学与技术等方向的公开关联信号（如安全相关讲座、研究方向），但未见独立弹药工程与爆炸技术专业。学校依托交通、能源等行业优势，毕业生就业主要去向包括建材建工、交通、汽车领域及战略新兴产业。报考时需注意专业名称变化、招生省份限制及就业数据细致程度。","https://www.whut.edu.cn/","部分专业可能有招生省份限制
爆炸相关领域需核对专业名称与培养方向
就业数据以官方报告为准"
"武汉科技大学","普通本科,双一流,湖北省重点高校,资源环境特色,安全工程相关","湖北省武汉","资源与环境工程学院下设安全科学与工程系，侧重矿山安全、职业健康、应急管理及工业安全等领域","有矿业或资源类背景考生
关注工业安全与职业健康的理工学生
想在应急管理或矿山安全领域发展的
偏好普通本科高质量工程教育的","武汉科技大学为普通本科高校，位于武汉，资源与环境工程学院设有安全科学与工程专业（国家级+省级一流本科），与安全工程、爆破工程、爆炸力学、含能材料等方向高度关联，可覆盖学生报考兴趣；但专业名称未与弹药工程与爆炸技术完全匹配，招生信息存在省份限制，具体去向及数据待更细核对。学校非985/211，属于湖北省双一流建设高校，适合理工背景考生，风险主要在专业匹配及招生政策。总体关联中，安全方向可靠，弹药类待确认。","https://www.wust.edu.cn/","专业隶属资源与环境工程学院，具体招生计划按省份核对
无弹药工程与爆炸技术专业
安全工程为国家级+省级一流本科专业
招生省份及分数线待省份官方核对"
"沈阳化工大学","普通本科,普通本科,沈阳,化工安全,安全工程,应急管理","辽宁沈阳","化工安全、安全工程和防火防爆近相关。","关注化工过程安全、防火防爆和应急管理的学生。
希望比较辽宁地区化工安全近相关院校的学生。","沈阳化工大学不属于弹药工程直接对应院校，但安全工程专业以化工安全为特色，涉及防火防爆、化工过程安全和职业卫生等近相关内容。后续只能写近相关，不写弹药本科结论或就业强结论。","https://www.syuct.edu.cn/","未确认开设弹药工程与爆炸技术本科专业。
raw 包双一流口径需删除，正式层次写普通本科。
分省计划、录取数据和就业去向需按官方年度材料核对。"
"沈阳工学院","普通本科,普通本科,民办本科,抚顺,兵器类,弹药工程","辽宁抚顺","弹药工程、特种能源和兵器类本科。","关注弹药工程与爆炸技术本科专业的学生。
关注特种能源、含能材料和工程爆破应用的学生。","沈阳工学院属于本批少数可确认直接相关的候选。2026年招生章程列出弹药工程与爆炸技术、特种能源技术与工程本科专业，招生网和学院页也有兵器类专业介绍。后续可进入人工确认，但分省计划、录取分数和就业去向必须另查官方年度材料。","https://www.situ.edu.cn/","民办本科，学费和办学成本需按当年招生章程核对。
招生计划、分省专业组、录取分数和选科要求需按省份复核。
就业率、薪资和就业单位只能作为待核对线索，不能写成稳定承诺。"
"沈阳航空航天大学","普通本科,普通本科,沈阳,航空航天,安全工程,消防工程","辽宁沈阳","航空安全、消防工程和火爆防控近相关。","关注航空安全、消防工程和风险评估的学生。
希望比较航空特色安全工程院校的学生。","沈阳航空航天大学不属于弹药工程直接对应院校，但安全工程、消防工程和航空安全方向与火灾爆炸防控近相关。raw 包中的 211 和双一流口径应删除，后续只能写普通本科近相关。","https://www.sau.edu.cn/","未确认开设弹药工程与爆炸技术本科专业。
学校不是 211，不能沿用 raw 包里的 211 口径。
分省计划、录取数据和就业去向需按官方年度材料核对。"
"河北科技大学","普通本科,双一流,省属重点高校,工学强校,国防共建,材料化工","河北石家庄","工学为主，服务区域产业与国防科技","对工学、材料、机械感兴趣的学生
关注国防科技与安全工程方向者
追求区域产业就业的考生
希望通过专业交叉发展职业能力者","河北科技大学为河北省人民政府与国防科技工业局共建的普通本科高校，位于石家庄，工学特色鲜明。学校设有21个学院，涵盖材料科学与工程、机械工程、化学与制药工程、环境科学与工程等专业，现有9个省级重点学科。公开来源未见弹药工程与爆炸技术、兵器科学与技术等专业本科招生目录或学院具体页面，相关学科仅见硕士授权与教师信息。学校与国防科技有共建背景，但未确认该专业在当前招生体系中的位置。适合对工学、材料、机械、安全感兴趣的学生，报考时需核对省份分数线与专业归属。总体层次为普通本科，非985/211，适合注重区域就业与产业对接的考生。风险包括专业名称变更、招生限制及就业数据不细。","https://www.hebust.edu.cn/","专业名称与当前目录可能存在调整
本科招生省份限制需确认
就业数据需按具体专业省份核对
未见公开的弹药工程与爆炸技术专业具体招生计划"
"河南理工大学","普通本科,普通本科,焦作,安全工程,矿业安全,灾害防控","河南焦作","安全工程、矿业安全和灾害防控方向相关。","关注安全工程、矿山安全、灾害防控和工程管理的学生。
希望在中部地区比较安全类工科院校的学生。","河南理工大学与安全工程、矿业安全、灾害防控和应急管理方向关联较明确，适合作为安全类工科院校对比。本条不把研究方向或行业场景写成本科弹药专业，具体招生专业、计划、录取和就业去向仍需查官方年度材料。","https://www.hpu.edu.cn/","爆破或爆炸相关内容需回到专业介绍和培养方案核对。
分省招生计划、录取分数和选科要求以当年招生网为准。
就业率和具体去向未逐项核验前只作待核对。"
"浙江海洋大学","普通本科,海洋类,石油化工,安全工程,环境科学,双一流","浙江舟山","依托油气储运与海洋资源，培养油气安全与环境领域应用型人才","对油气安全与环境工程感兴趣的学生
海洋资源相关专业背景考生
关注升学与就业的普通本科生","浙江海洋大学石油化工与环境学院设安全工程专业，依托油气储运与临港特色，培养安全、环境领域人才。学校为普通本科海洋类高校，无弹药工程或兵器科学与技术专业开放招生信号。适合关注海洋资源、油气安全与环境的学生。报考时需核对当年专业名称变化与省份限制，数据来源为学校官网与招生网，具体分数线与就业单位待核对。","https://www.zjou.edu.cn/","安全工程专业位于石油化工与环境学院，非弹药类专业
专业名称可能随目录调整
招生省份与分数线每年变化，需核对
就业数据以学院报告为准，具体单位待核对"
"海军工程大学","普通本科,军校,武汉,武器系统,水中兵器,海军装备","湖北武汉","舰艇武器系统和水中兵器近相关。","关注舰艇武器系统、水中兵器和海军装备方向的学生。
能接受军校政治考核、体检和服役要求的学生。","海军工程大学不属于弹药工程直接对应院校，但官方专业页列出 082101 武器系统与工程，本科学制四年，培养舰艇水中兵器初级技术军官。可作为海军装备和水中兵器强近相关院校，分省计划、体检政审和录取口径需待核对。","https://www.nue.edu.cn/","军校招生政策、体检标准和分省计划必须按当年官方入口核对。
武器系统与工程属于兵器强近相关，不能写成弹药工程本科。
录取分数、招生人数和毕业去向均需保留待核对边界。"
"湖南科技大学","普通本科,普通本科,双一流,国防特色,安全工程,应急管理","湖南省湘潭市","依托资源环境与安全工程学院开设安全工程、应急技术与管理等安全专业，国防特色学科支撑兵器与爆炸领域基础。","安全与应急领域本科生
国防科技感兴趣学生
关注安全工程与爆破技术的考生","湖南科技大学为普通本科，属于省部共建高校，资源环境与安全工程学院设有安全工程和应急技术与管理等专业，国防特色学科存在。但无弹药工程与爆炸技术或兵器科学与技术本科专业。该校与相关方向有间接关联，通过安全工程培养途径提供基础知识和实践能力。招生省份需具体核对，专业名称可能调整，适合关注安全、应急与国防科技的学生。核心来源为学校官网及学院页面。","https://www.hnust.edu.cn/","专业名称可能变动
招生省份限制需核对
分数线按省份具体发布
就业数据不够细致"
"西北工业大学","985 / 211,985,211,双一流,西安,三航特色","陕西西安","航空、航天、航海和国防装备方向相关。","关注国防装备、飞行器、航天和工程力学方向的学生。
目标较高，愿意按招生网核对专业大类和录取位次的学生。","西北工业大学的航空、航天、航海和国防装备方向与军工装备场景相关。草稿只把这些作为专业关联线索，不写成弹药工程本科招生事实。报考时应先查本科招生网，再按省份核对专业大类、计划、录取位次和就业报告。","https://www.nwpu.edu.cn/","本条不确认弹药工程与爆炸技术本科招生，需查当年专业计划。
三航特色和军工背景不能直接等同于弹药或爆炸专业。
分省计划、专业组、选科要求和就业报告需逐年核对。"
"西南科技大学","普通本科,普通本科,绵阳,国防科工共建,材料方向,安全方向","四川绵阳","国防科工共建、材料与安全方向有线索。","关注材料、安全工程、军民融合区域资源的学生。
希望在绵阳及西南区域对比工科院校的学生。","西南科技大学可作为材料、安全工程和国防科工共建背景的对比院校，但草稿不把这些线索写成弹药或爆炸技术本科招生事实。报考前应以本科招生网、教务入口和官方年度报告核对专业名称、分省计划和就业去向。","https://www.swust.edu.cn/","本条不确认弹药工程与爆炸技术本科招生，须查当年计划。
国防科工共建背景只能作为学校关联线索，不能当成专业证据。
分省计划、录取分数和就业去向需回到官方年度材料核对。"
"西安科技大学","普通本科,普通本科,西安,安全工程,消防工程,应急管理","陕西西安","矿山安全、消防工程和应急管理近相关。","关注矿山安全、消防工程和应急技术的学生。
希望比较安全科学与工程特色院校的学生。","西安科技大学不属于弹药工程直接对应院校，但安全工程、消防工程、应急技术与管理方向与矿山安全、火灾防控和工业安全近相关。后续清洗时应保留边界，不写弹药本科结论或就业强结论。","https://www.xust.edu.cn/","未确认开设弹药工程与爆炸技术本科专业。
安全学科实力不能替代本科弹药专业证据。
分省计划、录取分数和就业去向需按官方年度材料核对。"
"辽宁工程技术大学","普通本科,普通本科,阜新,安全工程,矿业安全,爆破线索","辽宁阜新","安全工程、矿业安全和工程爆破方向相关。","关注安全工程、矿山安全、工程爆破和现场工程场景的学生。
希望比较东北地区矿业与安全类院校的学生。","辽宁工程技术大学与安全工程、矿业安全、工程力学和工程爆破场景关联较强，适合作为安全与爆破工程方向的对比院校。本条不把爆破研究或工程场景写成本科招生专业，具体专业、计划、录取和就业去向仍需查官方年度材料。","https://www.lntu.edu.cn/","爆破方向多为工程场景或研究线索，不能替代本科专业证据。
分省招生计划、录取分数和选科要求需以当年招生网为准。
现场类方向可能涉及艰苦环境，应提前核对培养和就业场景。"
"辽宁石油化工大学","普通本科,石油化工,化工安全工程,安全工程,普通本科,双一流","辽宁抚顺","石油化工特色，化工安全工程为主，安全与环境领域交叉融合培养","石油化工行业安全领域感兴趣的学生
希望在石化产业就业的工科学生
偏好辽宁本地或石化相关就业方向的考生","辽宁石油化工大学为辽宁省普通本科院校，位于抚顺，石油化工特色明显。环境与安全工程学院开设化工安全工程、安全工程等专业，核心课程包括防火防爆技术等，突出石油化工行业安全领域。未开设弹药工程与爆炸技术、兵器科学与技术、爆炸力学、含能材料、爆破工程等专业，此类方向考生无直接匹配培养计划。学校层次为普通本科，学院入口为环境与安全工程学院。就业以石油化工安全人才为主，升学方向为研究生。报考风险包括专业名称可能变化、招生省份限制、分数线需核对、就业数据不够细。可靠来源为学校官网、学院官网及招生办公开页面。","https://www.lnpu.edu.cn/","弹药工程与爆炸技术专业未开设，需转入安全工程或相关领域
招生省份限制待核对
就业数据不够细
分数线需按省份核对"
"重庆大学","985 / 211,双一流,985,211,工科,工程","重庆重庆市","工科为主、多学科协调发展，力学、机械与安全相关领域研究","对力学、机械、材料感兴趣的工科学生
关注安全工程与资源领域的学生
寻求爆炸与冲击相关研究方向的学生","重庆大学与弹药工程与爆炸技术、兵器科学与技术、爆炸力学、含能材料、安全工程、爆破工程等方向存在中等关联，主要通过力学、机械与资源与安全学院体现。力学学科在全国评估中属于A-级，机械工程A-级，资源与安全学院开设安全工程本科（一级学科安全科学与工程），航空航天学院教师研究爆炸与冲击动力学、含能材料。学校层次为985/211，城市重庆。无独立本科专业直接匹配‘弹药工程与爆炸技术’，但相关研究与学院设置可作为报考参考。就业质量报告显示本科去向落实率85-87%，多流向国企央企、科研院所。报考风险包括专业名称变化、招生省份限制需核对、就业数据不够细致具体。","https://www.cqu.edu.cn/","专业名称与学院调整可能发生
本科招生省份限制需核对
就业数据多为学院级汇总
具体专业招生分数线需按省份查招生网"
"重庆科技大学","普通本科,普通本科,重庆,安全工程,消防工程,化工安全","重庆重庆","安全工程、防火防爆和应急方向近相关。","关注安全生产、防火防爆、消防工程和应急管理的学生。
希望在应用型本科中比较安全工程方向的学生。","重庆科技大学不属于弹药工程直接对应院校，但安全工程、消防工程、化工安全工程和应急技术与管理方向与防火防爆、化工安全近相关。后续清洗时应保留边界，不写弹药本科结论。","https://www.cqust.edu.cn/","未确认开设弹药工程与爆炸技术本科专业。
本科招生计划、专业组和录取分数需按当年招生网核对。
就业去向和就业率未逐项核验前只能写待核对。"
"长春理工大学","普通本科,普通本科,长春,光电特色,兵器类,探测制导","吉林长春","探测制导、信息对抗和光电国防方向。","关注探测制导、信息对抗和光电国防方向的学生。
希望比较兵器类近相关本科院校的学生。","长春理工大学不属于弹药工程直接对应院校，但本科招生网和光电工程学院页面可核到探测制导与控制技术、信息对抗技术等兵器类近相关专业。后续可作为光电国防和探测制导方向候选人工确认，不能写成弹药工程本科招生。","https://www.cust.edu.cn/","未确认开设弹药工程与爆炸技术本科专业。
探测制导和信息对抗属于兵器类近相关，不能写成弹药本科。
分省计划、录取分数、招生人数和就业去向均需待核对。"
"青岛科技大学","普通本科,普通本科,青岛,安全工程,化工安全,应急管理","山东青岛","化工安全、安全工程和应急方向近相关。","关注化工安全、安全生产和应急管理的学生。
希望比较山东地区安全工程近相关院校的学生。","青岛科技大学不属于弹药工程直接对应院校，但安全工程和应急技术与管理方向与化工安全、危险化学品事故应急近相关。raw 包相关性偏高，clean 草稿已降为中相关。","https://www.qust.edu.cn/","未确认开设弹药工程与爆炸技术本科专业。
raw 包相关性写高，清洗时应降为中。
分省计划、录取数据和就业去向需按官方年度材料核对。"
"黑龙江科技大学","普通本科,普通本科,双一流,安全工程,应用型","黑龙江哈尔滨","以安全科学与工程为主的应急管理特色学科，服务煤炭工业与安全生产","对安全工程、应急管理或煤炭相关感兴趣的应用型学生
希望在省内就业、侧重实践的本科生
对爆破工程等国防/民用方向有兴趣但专业不直接匹配的学生","黑龙江科技大学为省属普通本科高校，以矿业工程及安全科学与工程特色为主，位于哈尔滨。安全工程学院开设安全工程专业（国家一流建设点），该专业与安全工程、应急管理方向关联紧密，但未见弹药工程与爆炸技术、兵器科学与技术等专业开设。学校层次为普通本科，学科评估中安全科学与工程为C类。招生主要限于黑龙江省，学生可通过安全工程学院了解培养方向与就业信号。整体对安全、应急领域学生适合，但与用户目标方向（如弹药工程）匹配度低。招生计划及就业数据有待核对最新报告。","https://usth.edu.cn/","安全工程专业为省级特色，非弹药工程与爆炸技术专业
招生省份限制明显，省外考生需核实计划
专业名称及培养方向无重大变化，待核对具体招生计划
就业数据整体省内领先，但具体行业去向待核对报告"
